 Date Time CO OZ NO2 CHX NO
 14.12.12 12:00 0.13 ---- ---- ---- ----
 -------- 13:00 0.13 ---- 0.18 1.56 0.15
 -------- 14:00 0.14 ---- 0.19 1.56 0.15
 -------- 15:00 0.14 ---- 0.17 1.55 0.13
 -------- 16:00 0.14 ---- 0.18 1.54 0.12
 14.12.12 17:00 0.13 ---- 0.18 1.55 0.10
 -------- 18:00 0.12 ---- 0.20 1.56 0.12
 -------- 19:00 0.13 ---- 0.20 1.56 0.12
 -------- 20:00 0.11 ---- 0.18 1.55 0.10
 -------- 21:00 0.13 ---- 0.19 1.56 0.11
 14.12.12 22:00 0.13 ---- 0.18 1.54 0.10
 -------- 23:00 0.13 ---- 0.18 1.56 0.13
 -------- 00:00 0.13 ---- 0.19 1.56 0.17
 -------- 01:00 0.10 ---- 0.19 1.55 0.17
 -------- 02:00 0.10 ---- 0.19 1.54 0.15
 15.12.12 03:00 0.08 ---- 0.16 1.50 0.09
 -------- 04:00 0.08 ---- 0.17 1.51 0.09
 -------- 05:00 0.07 ---- 0.17 1.53 0.11
 -------- 06:00 0.09 ---- 0.17 1.55 0.11
 -------- 07:00 0.11 ---- 0.19 1.60 0.19
 15.12.12 08:00 0.17 ---- 0.19 1.63 0.23
 -------- 09:00 0.15 ---- 0.18 1.61 0.21
 -------- 10:00 0.25 ---- 0.19 1.65 0.23
 -------- 11:00 0.27 ---- 0.19 1.68 0.28
 -------- 12:00 0.27 ---- 0.19 1.68 0.22
 15.12.12 13:00 0.30 ---- 0.19 1.73 0.20
 -------- 14:00 0.29 ---- 0.19 1.72 0.19
 -------- 15:00 0.25 ---- 0.19 1.68 0.19
 -------- 16:00 0.26 ---- 0.20 1.64 0.16
 -------- 17:00 0.25 ---- 0.21 1.67 0.18
 15.12.12 18:00 0.23 ---- 0.20 1.66 0.18
 -------- 19:00 0.26 ---- 0.20 1.68 0.22
 -------- 20:00 0.21 ---- 0.18 1.63 0.19
 -------- 21:00 0.14 ---- 0.15 1.55 0.11
 -------- 22:00 0.09 ---- 0.15 1.55 0.10
 15.12.12 23:00 0.06 ---- 0.14 1.54 0.08
 -------- 00:00 0.06 ---- 0.13 1.54 0.08
 -------- 01:00 0.06 ---- 0.13 1.54 0.07
 -------- 02:00 0.04 ---- 0.13 1.54 0.06
 -------- 03:00 0.03 ---- 0.11 1.55 0.05
 16.12.12 04:00 0.02 ---- 0.12 1.54 0.06
 -------- 05:00 0.05 ---- 0.14 1.64 0.14
 -------- 06:00 0.08 ---- 0.15 1.64 0.14
 -------- 07:00 0.11 ---- 0.16 1.65 0.17
 -------- 08:00 0.09 ---- 0.15 1.63 0.13
 16.12.12 09:00 0.07 ---- 0.14 1.59 0.11
 -------- 10:00 0.12 ---- 0.13 1.58 0.11
 -------- 11:00 0.13 ---- 0.14 1.60 0.13
