 Date Time CO OZ NO2 CHX NO
 01.11.12 00:00 ---- 0.21 0.10 1.48 0.05
 -------- 01:00 ---- 0.21 0.10 1.47 0.05
 -------- 02:00 ---- 0.23 0.09 1.48 0.04
 -------- 03:00 ---- 0.28 0.08 1.47 0.04
 -------- 04:00 ---- 0.23 0.09 1.46 0.03
 01.11.12 05:00 ---- 0.19 0.09 1.47 0.04
 -------- 06:00 ---- 0.11 0.12 1.49 0.07
 -------- 07:00 ---- 0.09 0.12 1.53 0.08
 -------- 08:00 ---- 0.06 0.14 1.58 0.14
 -------- 09:00 ---- 0.07 0.15 1.67 0.19
 01.11.12 10:00 ---- 0.09 0.15 1.62 0.18
 -------- 11:00 ---- 0.10 0.14 1.60 0.16
 -------- 12:00 ---- 0.11 0.14 1.59 0.14
 -------- 13:00 ---- 0.09 0.15 1.58 0.16
 -------- 14:00 ---- 0.10 0.15 1.59 0.17
 01.11.12 15:00 ---- 0.09 0.16 1.60 0.18
 -------- 16:00 ---- 0.09 0.15 1.60 0.15
 -------- 17:00 ---- 0.07 0.16 1.59 0.15
 -------- 18:00 ---- 0.07 0.15 1.59 0.13
 -------- 19:00 ---- 0.09 0.14 1.59 0.11
 01.11.12 20:00 ---- 0.06 0.14 1.60 0.15
 -------- 21:00 ---- 0.06 0.15 1.63 0.24
 -------- 22:00 ---- 0.06 0.13 1.62 0.21
 -------- 23:00 ---- 0.06 0.13 1.61 0.18
 -------- 00:00 ---- 0.06 0.12 1.60 0.16
 02.11.12 01:00 ---- 0.07 0.12 1.58 0.15
 -------- 02:00 ---- 0.09 0.12 1.56 0.12
 -------- 03:00 ---- 0.10 0.12 1.55 0.10
 -------- 04:00 ---- 0.06 0.12 1.54 0.12
 -------- 05:00 ---- 0.07 0.11 1.53 0.14
 02.11.12 06:00 ---- 0.06 0.12 1.53 0.17
 -------- 07:00 ---- 0.06 0.12 1.55 0.20
 -------- 08:00 ---- 0.06 0.14 1.56 0.22
 -------- 09:00 ---- 0.07 0.13 1.57 0.20
 -------- 10:00 ---- 0.08 0.14 1.58 0.19
 02.11.12 11:00 ---- 0.08 0.15 1.59 0.20
 -------- 12:00 0.37 0.07 0.17 1.54 0.13
 -------- 13:00 0.30 0.08 0.17 1.56 0.11
 -------- 14:00 0.39 0.07 0.18 1.56 0.14
 -------- 15:00 0.44 0.08 0.17 1.54 0.11
 02.11.12 16:00 0.48 0.08 0.18 1.54 0.14
 -------- 17:00 0.50 0.08 0.17 1.53 0.08
 -------- 18:00 0.47 0.10 0.15 1.51 0.05
 -------- 19:00 0.45 0.12 0.13 1.50 0.06
