 Date Time CO OZ NO2 NO
 12.02.13 12:00 0.20 0.07 0.26 0.17
 -------- 13:00 0.20 0.10 0.27 0.15
 -------- 14:00 0.18 0.10 0.27 0.13
 -------- 15:00 0.20 0.10 0.27 0.15
 -------- 16:00 0.19 0.09 0.28 0.14
 12.02.13 17:00 0.19 0.12 0.27 0.12
 -------- 18:00 0.21 0.09 0.29 0.12
 -------- 19:00 0.18 0.09 0.27 0.10
 -------- 20:00 0.20 0.09 0.27 0.12
 -------- 21:00 0.21 0.08 0.28 0.16
 12.02.13 22:00 0.18 0.07 0.28 0.13
 -------- 23:00 0.15 0.08 0.26 0.11
 -------- 00:00 0.13 0.09 0.25 0.10
 -------- 01:00 0.13 0.07 0.26 0.10
 -------- 02:00 0.11 0.09 0.23 0.07
 13.02.13 03:00 0.09 0.09 0.23 0.07
 -------- 04:00 0.11 0.07 0.24 0.09
 -------- 05:00 0.11 0.07 0.24 0.10
 -------- 06:00 0.14 0.09 0.25 0.11
 -------- 07:00 0.18 0.07 0.27 0.16
 13.02.13 08:00 0.25 0.06 0.28 0.18
 -------- 09:00 0.26 0.05 0.28 0.17
 -------- 10:00 0.24 0.06 0.29 0.17
 -------- 11:00 0.22 0.07 0.28 0.17
 -------- 12:00 0.24 0.08 0.33 0.19
 13.02.13 13:00 0.25 0.08 0.35 0.25
 -------- 14:00 0.25 0.08 0.32 0.22
 -------- 15:00 0.25 0.10 0.28 0.17
 -------- 16:00 0.21 0.10 0.29 0.15
 -------- 17:00 0.26 0.08 0.32 0.16
 13.02.13 18:00 0.31 0.06 0.34 0.18
 -------- 19:00 0.31 0.06 0.34 0.18
 -------- 20:00 0.31 0.06 0.33 0.21
 -------- 21:00 0.29 0.06 0.33 0.19
 -------- 22:00 0.29 0.06 0.32 0.26
 13.02.13 23:00 0.26 0.06 0.31 0.21
 -------- 00:00 0.21 0.06 0.30 0.18
 -------- 01:00 0.19 0.06 0.29 0.16
 -------- 02:00 0.16 0.06 0.30 0.16
 -------- 03:00 0.14 0.06 0.28 0.09
 14.02.13 04:00 0.16 0.05 0.28 0.13
 -------- 05:00 0.16 0.05 0.26 0.11
 -------- 06:00 0.22 0.06 0.28 0.23
 -------- 07:00 0.27 0.05 0.28 0.30
 -------- 08:00 0.29 0.06 0.28 0.23
 14.02.13 09:00 0.42 0.06 0.29 0.30
 -------- 10:00 0.37 0.06 0.31 0.33
 -------- 11:00 0.40 0.06 0.33 0.40
