 Date Time CO OZ NO2 NO
 13.01.13 12:00 0.14 ---- 0.16 0.04
 -------- 13:00 0.15 ---- 0.16 0.04
 -------- 14:00 0.14 ---- 0.16 0.03
 -------- 15:00 0.16 ---- 0.18 0.04
 -------- 16:00 0.15 ---- 0.19 0.04
 13.01.13 17:00 0.15 ---- 0.19 0.03
 -------- 18:00 0.16 ---- 0.20 0.03
 -------- 19:00 0.19 ---- 0.19 0.03
 -------- 20:00 0.15 ---- 0.19 0.03
 -------- 21:00 0.15 ---- 0.19 0.03
 13.01.13 22:00 0.14 ---- 0.19 0.03
 -------- 23:00 0.15 ---- 0.20 0.03
 -------- 00:00 0.14 ---- 0.19 0.02
 -------- 01:00 0.13 ---- 0.19 0.02
 -------- 02:00 0.12 ---- 0.17 0.01
 14.01.13 03:00 0.12 ---- 0.17 0.01
 -------- 04:00 0.11 ---- 0.17 0.01
 -------- 05:00 0.11 ---- 0.16 0.01
 -------- 06:00 0.12 ---- 0.17 0.01
 -------- 07:00 0.12 ---- 0.17 0.02
 14.01.13 08:00 0.16 ---- 0.19 0.03
 -------- 09:00 0.16 ---- 0.19 0.04
 -------- 10:00 0.14 ---- 0.20 0.05
 -------- 11:00 0.16 ---- 0.20 0.06
 -------- 12:00 0.16 ---- 0.20 0.07
 14.01.13 13:00 0.15 ---- 0.20 0.06
 -------- 14:00 0.16 ---- 0.21 0.07
 -------- 15:00 0.15 ---- 0.22 0.06
 -------- 16:00 0.33 0.07 0.23 0.09
 -------- 17:00 0.13 0.10 0.21 0.04
 14.01.13 18:00 0.11 0.14 0.19 0.03
 -------- 19:00 0.12 0.13 0.19 0.03
 -------- 20:00 0.11 0.17 0.17 0.03
 -------- 21:00 0.10 0.22 0.14 0.02
 -------- 22:00 0.12 0.21 0.14 0.02
 14.01.13 23:00 0.11 0.21 0.14 0.01
 -------- 00:00 0.12 0.21 0.14 0.01
 -------- 01:00 0.12 0.21 0.14 0.01
 -------- 02:00 0.10 0.22 0.13 0.01
 -------- 03:00 0.10 0.24 0.13 0.01
 15.01.13 04:00 0.10 0.28 0.11 0.01
 -------- 05:00 0.10 0.25 0.12 0.02
 -------- 06:00 0.10 0.22 0.14 0.01
 -------- 07:00 0.15 0.17 0.17 0.05
 -------- 08:00 0.19 0.14 0.21 0.06
 15.01.13 09:00 0.15 0.14 0.20 0.05
 -------- 10:00 0.14 0.15 0.20 0.04
 -------- 11:00 0.16 0.10 0.23 0.07
