 Date Time CO OZ NO2 CHX NO
 23.09.12 23:00 0.21 0.07 0.22 1.62 0.08
 -------- 00:00 0.21 0.06 0.20 1.64 0.09
 -------- 01:00 0.19 0.06 0.17 1.67 0.07
 -------- 02:00 0.16 0.05 0.15 1.69 0.05
 -------- 03:00 0.15 0.07 0.13 1.73 0.04
 24.09.12 04:00 0.14 0.09 0.11 1.71 0.04
 -------- 05:00 0.13 0.08 0.12 1.69 0.05
 -------- 06:00 0.14 0.08 0.14 1.67 0.07
 -------- 07:00 0.16 0.06 0.19 1.65 0.15
 -------- 08:00 0.23 0.04 0.22 1.67 0.29
 24.09.12 09:00 0.27 0.05 0.18 1.66 0.23
 -------- 10:00 0.21 0.06 0.20 1.63 0.16
 -------- 11:00 0.17 0.09 0.16 1.60 0.13
 -------- 12:00 0.16 0.07 0.16 1.58 0.13
 -------- 13:00 0.18 0.09 0.16 1.56 0.17
 24.09.12 14:00 0.27 0.12 0.16 1.52 0.12
 -------- 15:00 0.34 0.12 0.14 1.52 0.10
 -------- 16:00 0.35 0.12 0.14 1.51 0.09
 -------- 17:00 0.38 0.09 0.14 1.51 0.10
 -------- 18:00 0.39 0.09 0.13 1.50 0.08
 24.09.12 19:00 0.42 0.08 0.13 1.50 0.06
 -------- 20:00 0.45 0.06 0.14 1.52 0.09
 -------- 21:00 0.46 0.07 0.13 1.51 0.09
 -------- 22:00 0.53 0.06 0.16 1.52 0.09
 -------- 23:00 0.55 0.06 0.13 1.52 0.09
 25.09.12 00:00 0.58 0.05 0.12 1.55 0.09
 -------- 01:00 0.60 0.06 0.10 1.58 0.06
 -------- 02:00 0.60 0.09 0.07 1.55 0.03
 -------- 03:00 0.58 0.09 0.06 1.51 0.03
 -------- 04:00 0.60 0.09 0.07 1.50 0.04
 25.09.12 05:00 0.60 0.10 0.06 1.48 0.03
 -------- 06:00 0.62 0.07 0.10 1.47 0.10
 -------- 07:00 0.63 0.06 0.12 1.48 0.12
 -------- 08:00 0.66 0.06 0.13 1.49 0.13
 -------- 09:00 0.65 0.09 0.12 1.50 0.06
 25.09.12 10:00 0.71 0.11 0.13 1.50 0.06
 -------- 11:00 0.65 0.13 0.13 1.51 0.07
 -------- 12:00 0.59 0.16 0.12 1.51 0.05
 -------- 13:00 0.57 0.16 0.12 1.50 0.07
 -------- 14:00 0.55 0.18 0.10 1.50 0.06
 25.09.12 15:00 0.55 0.15 0.13 1.49 0.04
 -------- 16:00 0.59 0.11 0.16 1.51 0.06
 -------- 17:00 0.64 0.13 0.15 1.54 0.06
 -------- 18:00 0.64 0.11 0.14 1.53 0.05
