 Date Time CO OZ NO2 CHX NO
 07.12.12 23:00 0.20 ---- 0.12 1.83 0.22
 -------- 00:00 0.19 ---- 0.12 2.02 0.19
 -------- 01:00 0.17 ---- 0.11 2.01 0.16
 -------- 02:00 0.15 ---- 0.12 1.88 0.14
 -------- 03:00 0.15 ---- 0.13 1.83 0.16
 08.12.12 04:00 0.14 ---- 0.13 1.94 0.13
 -------- 05:00 0.13 ---- 0.11 1.80 0.12
 -------- 06:00 0.13 ---- 0.12 1.75 0.18
 -------- 07:00 0.15 ---- 0.12 1.83 0.19
 -------- 08:00 0.19 ---- 0.13 1.86 0.24
 08.12.12 09:00 0.21 ---- 0.14 1.89 0.25
 -------- 10:00 0.25 ---- 0.14 1.96 0.25
 -------- 11:00 0.31 ---- 0.14 2.13 0.32
 -------- 12:00 0.27 ---- 0.13 1.86 0.21
 -------- 13:00 0.29 ---- 0.13 1.83 0.28
 08.12.12 14:00 0.25 ---- 0.12 1.80 0.21
 -------- 15:00 0.24 ---- 0.13 1.83 0.21
 -------- 16:00 0.25 ---- 0.13 1.80 0.22
 -------- 17:00 0.22 ---- 0.12 1.82 0.17
 -------- 18:00 0.21 ---- 0.11 1.77 0.17
 08.12.12 19:00 0.21 ---- 0.12 1.78 0.19
 -------- 20:00 0.22 ---- 0.12 1.81 0.21
 -------- 21:00 0.20 ---- 0.10 1.78 0.18
 -------- 22:00 0.23 ---- 0.12 1.82 0.22
 -------- 23:00 0.21 ---- 0.10 1.80 0.18
 09.12.12 00:00 0.26 ---- 0.12 1.88 0.30
 -------- 01:00 0.28 ---- 0.12 1.91 0.32
 -------- 02:00 0.29 ---- 0.13 1.93 0.35
 -------- 03:00 0.34 ---- 0.13 2.09 0.34
 -------- 04:00 0.32 ---- 0.12 2.02 0.37
 09.12.12 05:00 0.28 ---- 0.12 1.93 0.32
 -------- 06:00 0.20 ---- 0.11 1.82 0.19
 -------- 07:00 0.18 ---- 0.11 1.78 0.14
 -------- 08:00 0.19 ---- 0.11 1.80 0.19
 -------- 09:00 0.17 ---- 0.10 1.72 0.16
 09.12.12 10:00 0.17 ---- 0.10 1.69 0.11
 -------- 11:00 0.17 ---- 0.14 1.66 0.13
 -------- 12:00 0.18 ---- 0.14 1.62 0.13
 -------- 13:00 0.21 ---- 0.15 1.66 0.13
 -------- 14:00 0.17 ---- 0.14 1.64 0.11
 09.12.12 15:00 0.21 ---- 0.17 1.65 0.14
 -------- 16:00 0.22 ---- 0.19 1.70 0.21
 -------- 17:00 0.24 ---- 0.18 1.81 0.22
 -------- 18:00 0.27 ---- 0.18 1.73 0.26
 -------- 19:00 0.27 ---- 0.20 1.70 0.31
 09.12.12 20:00 0.21 ---- 0.18 1.66 0.20
 -------- 21:00 0.21 ---- 0.17 1.67 0.21
 -------- 22:00 0.27 ---- 0.17 1.64 0.24
