 Date Time OZ NO2 CHX NO
 21.12.12 00:00 ---- 0.17 ---- 0.23
 -------- 01:00 ---- 0.17 ---- 0.24
 -------- 02:00 ---- 0.18 ---- 0.23
 -------- 03:00 ---- 0.17 ---- 0.21
 -------- 04:00 ---- 0.15 ---- 0.15
 21.12.12 05:00 ---- 0.17 ---- 0.19
 -------- 06:00 ---- 0.17 ---- 0.26
 -------- 07:00 ---- 0.18 ---- 0.31
 -------- 08:00 ---- 0.18 ---- 0.29
 -------- 09:00 ---- 0.19 ---- 0.36
 21.12.12 10:00 ---- 0.21 ---- 0.40
 -------- 11:00 ---- 0.21 ---- 0.39
 -------- 12:00 ---- 0.21 ---- 0.37
 -------- 13:00 ---- 0.21 ---- 0.38
 -------- 14:00 ---- 0.23 ---- 0.45
 21.12.12 15:00 ---- 0.23 ---- 0.48
 -------- 16:00 ---- 0.25 ---- 0.42
 -------- 17:00 ---- 0.24 ---- 0.40
 -------- 18:00 ---- 0.22 ---- 0.33
 -------- 19:00 ---- 0.20 ---- 0.27
 21.12.12 20:00 ---- 0.21 ---- 0.36
 -------- 21:00 ---- 0.20 ---- 0.29
 -------- 22:00 ---- 0.19 ---- 0.27
 -------- 23:00 ---- 0.20 ---- 0.28
 -------- 00:00 ---- 0.18 ---- 0.25
 22.12.12 01:00 ---- 0.18 ---- 0.22
 -------- 02:00 ---- 0.20 ---- 0.24
 -------- 03:00 ---- 0.19 ---- 0.21
 -------- 04:00 ---- 0.19 ---- 0.20
 -------- 05:00 ---- 0.20 ---- 0.19
 22.12.12 06:00 ---- 0.21 ---- 0.22
 -------- 07:00 ---- 0.24 ---- 0.31
 -------- 08:00 ---- 0.28 ---- 0.37
 -------- 09:00 ---- 0.23 ---- 0.27
 -------- 10:00 ---- 0.26 ---- 0.39
 22.12.12 11:00 ---- 0.22 ---- 0.27
 -------- 12:00 ---- 0.23 ---- 0.29
 -------- 13:00 ---- 0.24 ---- 0.32
 -------- 14:00 ---- 0.22 ---- 0.22
 -------- 15:00 ---- 0.24 ---- 0.24
 22.12.12 16:00 ---- 0.23 ---- 0.25
 -------- 17:00 ---- 0.23 ---- 0.25
 -------- 18:00 ---- 0.25 ---- 0.29
 -------- 19:00 ---- 0.23 ---- 0.23
 -------- 20:00 ---- 0.20 ---- 0.14
 22.12.12 21:00 ---- 0.20 ---- 0.15
 -------- 22:00 ---- 0.19 ---- 0.13
 -------- 23:00 ---- 0.19 ---- 0.13
