 Date Time OZ NO2 NO
 23.12.12 12:00 ---- 0.19 0.26
 -------- 13:00 ---- 0.21 0.23
 -------- 14:00 ---- 0.21 0.25
 -------- 15:00 ---- 0.23 0.24
 -------- 16:00 ---- 0.24 0.34
 23.12.12 17:00 ---- 0.28 0.39
 -------- 18:00 ---- 0.27 0.41
 -------- 19:00 ---- 0.24 0.30
 -------- 20:00 ---- 0.23 0.30
 -------- 21:00 ---- 0.23 0.30
 23.12.12 22:00 ---- 0.22 0.29
 -------- 23:00 ---- 0.24 0.29
 -------- 00:00 ---- 0.26 0.33
 -------- 01:00 ---- 0.27 0.35
 -------- 02:00 ---- 0.28 0.35
 24.12.12 03:00 ---- 0.28 0.41
 -------- 04:00 ---- 0.27 0.24
 -------- 05:00 ---- 0.26 0.19
 -------- 06:00 ---- 0.25 0.27
 -------- 07:00 ---- 0.31 0.51
 24.12.12 08:00 ---- 0.30 0.46
 -------- 09:00 ---- 0.33 0.52
 -------- 10:00 ---- 0.34 0.59
 -------- 11:00 ---- 0.32 0.47
 -------- 12:00 ---- 0.27 0.26
 24.12.12 13:00 ---- 0.26 0.23
 -------- 14:00 ---- 0.25 0.27
 -------- 15:00 ---- 0.26 0.27
 -------- 16:00 ---- 0.27 0.25
 -------- 17:00 ---- 0.26 0.28
 24.12.12 18:00 ---- 0.27 0.37
 -------- 19:00 ---- 0.25 0.30
 -------- 20:00 ---- 0.24 0.26
 -------- 21:00 ---- 0.20 0.16
 -------- 22:00 ---- 0.20 0.17
 24.12.12 23:00 ---- 0.19 0.15
 -------- 00:00 ---- 0.19 0.12
 -------- 01:00 ---- 0.18 0.09
 -------- 02:00 ---- 0.15 0.06
 -------- 03:00 ---- 0.13 0.06
 25.12.12 04:00 ---- 0.13 0.05
 -------- 05:00 ---- 0.13 0.06
 -------- 06:00 ---- 0.15 0.09
 -------- 07:00 ---- 0.19 0.16
 -------- 08:00 ---- 0.18 0.13
 25.12.12 09:00 ---- 0.16 0.11
 -------- 10:00 ---- 0.15 0.10
 -------- 11:00 ---- 0.18 0.12
