 Date Time OZ NO2 CHX NO
 19.12.12 12:00 ---- 0.16 ---- 0.19
 -------- 13:00 ---- 0.13 ---- 0.14
 -------- 14:00 ---- 0.15 ---- 0.15
 -------- 15:00 ---- 0.19 ---- 0.21
 -------- 16:00 ---- 0.20 ---- 0.22
 19.12.12 17:00 ---- 0.21 ---- 0.22
 -------- 18:00 ---- 0.23 ---- 0.34
 -------- 19:00 ---- 0.26 ---- 0.32
 -------- 20:00 ---- 0.25 ---- 0.29
 -------- 21:00 ---- 0.24 ---- 0.30
 19.12.12 22:00 ---- 0.20 ---- 0.32
 -------- 23:00 ---- 0.20 ---- 0.31
 -------- 00:00 ---- 0.19 ---- 0.29
 -------- 01:00 ---- 0.20 ---- 0.33
 -------- 02:00 ---- 0.20 ---- 0.29
 20.12.12 03:00 ---- 0.19 ---- 0.26
 -------- 04:00 ---- 0.20 ---- 0.26
 -------- 05:00 ---- 0.20 ---- 0.29
 -------- 06:00 ---- 0.21 ---- 0.36
 -------- 07:00 ---- 0.22 ---- 0.36
 20.12.12 08:00 ---- 0.23 ---- 0.36
 -------- 09:00 ---- 0.22 ---- 0.32
 -------- 10:00 ---- 0.22 ---- 0.31
 -------- 11:00 ---- 0.24 ---- 0.33
 -------- 12:00 ---- 0.25 ---- 0.37
 20.12.12 13:00 ---- 0.24 ---- 0.36
 -------- 14:00 ---- 0.26 ---- 0.39
 -------- 15:00 ---- 0.25 ---- 0.35
 -------- 16:00 ---- 0.26 ---- 0.35
 -------- 17:00 ---- 0.24 ---- 0.29
 20.12.12 18:00 ---- 0.24 ---- 0.25
 -------- 19:00 ---- 0.23 ---- 0.25
 -------- 20:00 ---- 0.22 ---- 0.30
 -------- 21:00 ---- 0.19 ---- 0.28
 -------- 22:00 ---- 0.19 ---- 0.21
 20.12.12 23:00 ---- 0.18 ---- 0.18
 -------- 00:00 ---- 0.17 ---- 0.21
 -------- 01:00 ---- 0.17 ---- 0.24
 -------- 02:00 ---- 0.18 ---- 0.23
 -------- 03:00 ---- 0.17 ---- 0.21
 21.12.12 04:00 ---- 0.15 ---- 0.15
 -------- 05:00 ---- 0.17 ---- 0.19
 -------- 06:00 ---- 0.17 ---- 0.26
 -------- 07:00 ---- 0.18 ---- 0.31
 -------- 08:00 ---- 0.18 ---- 0.29
 21.12.12 09:00 ---- 0.19 ---- 0.36
 -------- 10:00 ---- 0.21 ---- 0.40
 -------- 11:00 ---- 0.21 ---- 0.39
