 Date Time CO OZ NO2 NO
 20.03.13 12:00 0.20 0.13 0.28 0.16
 -------- 13:00 0.19 0.14 0.26 0.16
 -------- 14:00 0.19 0.12 0.30 0.17
 -------- 15:00 0.20 0.13 0.28 0.16
 -------- 16:00 0.20 0.15 0.27 0.13
 20.03.13 17:00 0.21 0.14 0.28 0.14
 -------- 18:00 0.18 0.14 0.27 0.12
 -------- 19:00 0.11 0.22 0.23 0.06
 -------- 20:00 0.07 0.25 0.20 0.03
 -------- 21:00 0.07 0.24 0.20 0.04
 20.03.13 22:00 0.07 0.20 0.21 0.05
 -------- 23:00 0.06 0.20 0.20 0.02
 -------- 00:00 0.05 0.19 0.19 0.02
 -------- 01:00 0.02 0.24 0.17 0.01
 -------- 02:00 0.02 0.27 0.15 0.01
 21.03.13 03:00 0.03 0.32 0.13 0.01
 -------- 04:00 0.02 0.31 0.13 0.01
 -------- 05:00 0.02 0.28 0.15 0.01
 -------- 06:00 0.03 0.25 0.16 0.02
 -------- 07:00 0.05 0.24 0.17 0.02
 21.03.13 08:00 0.11 0.17 0.21 0.05
 -------- 09:00 0.07 0.21 0.20 0.04
 -------- 10:00 0.07 0.23 0.19 0.04
 -------- 11:00 0.07 0.27 0.18 0.04
 -------- 12:00 0.09 0.29 0.18 0.04
 21.03.13 13:00 0.09 0.30 0.18 0.05
 -------- 14:00 0.11 0.29 0.18 0.05
 -------- 15:00 0.17 0.29 0.19 0.05
 -------- 16:00 0.09 0.32 0.17 0.03
 -------- 17:00 0.08 0.29 0.19 0.04
 21.03.13 18:00 0.05 0.30 0.18 0.03
 -------- 19:00 0.09 0.25 0.21 0.03
 -------- 20:00 0.07 0.34 0.17 0.02
 -------- 21:00 0.07 0.36 0.16 0.01
 -------- 22:00 0.06 0.36 0.17 0.01
 21.03.13 23:00 0.06 0.30 0.20 0.02
 -------- 00:00 0.06 0.32 0.19 0.02
 -------- 01:00 0.05 0.30 0.18 0.01
 -------- 02:00 0.05 0.28 0.20 0.01
 -------- 03:00 0.04 0.31 0.18 0.01
 22.03.13 04:00 0.04 0.30 0.18 0.01
 -------- 05:00 0.04 0.27 0.19 0.01
 -------- 06:00 0.05 0.20 0.22 0.03
 -------- 07:00 0.09 0.17 0.24 0.05
 -------- 08:00 0.11 0.14 0.24 0.04
