 Date Time CO OZ NO2 CHX NO
 05.12.12 12:00 0.19 ---- 0.13 1.56 0.12
 -------- 13:00 0.19 0.01 0.10 1.54 0.07
 -------- 14:00 0.21 ---- 0.13 1.57 0.13
 -------- 15:00 0.26 ---- 0.15 1.59 0.17
 -------- 16:00 0.25 ---- 0.17 1.61 0.18
 05.12.12 17:00 0.28 0.02 0.19 1.65 0.23
 -------- 18:00 0.29 ---- 0.19 1.71 0.23
 -------- 19:00 0.28 ---- 0.19 1.69 0.18
 -------- 20:00 0.25 ---- 0.17 1.65 0.19
 -------- 21:00 0.25 ---- 0.17 1.62 0.22
 05.12.12 22:00 0.27 ---- 0.17 1.64 0.23
 -------- 23:00 0.26 ---- 0.16 1.62 0.25
 -------- 00:00 0.25 ---- 0.17 1.68 0.26
 -------- 01:00 0.19 ---- 0.15 1.59 0.17
 -------- 02:00 0.19 ---- 0.15 1.58 0.17
 06.12.12 03:00 0.17 ---- 0.14 1.60 0.13
 -------- 04:00 0.16 ---- 0.15 1.58 0.18
 -------- 05:00 0.16 ---- 0.12 1.56 0.13
 -------- 06:00 0.19 ---- 0.11 1.54 0.13
 -------- 07:00 0.20 ---- 0.13 1.55 0.16
 06.12.12 08:00 0.22 ---- 0.13 1.58 0.16
 -------- 09:00 0.21 ---- 0.13 1.58 0.13
 -------- 10:00 0.25 ---- 0.15 1.62 0.18
 -------- 11:00 0.23 ---- 0.15 1.63 0.20
 -------- 12:00 0.21 ---- 0.17 1.62 0.16
 06.12.12 13:00 0.23 ---- 0.18 1.63 0.16
 -------- 14:00 0.18 ---- 0.18 1.61 0.16
 -------- 15:00 0.14 ---- 0.18 1.60 0.19
 -------- 16:00 0.11 ---- 0.17 1.57 0.15
 -------- 17:00 0.09 ---- 0.17 1.55 0.11
 06.12.12 18:00 0.11 ---- 0.15 1.58 0.11
 -------- 19:00 0.12 ---- 0.16 1.60 0.12
 -------- 20:00 0.10 ---- 0.15 1.55 0.11
 -------- 21:00 0.10 ---- 0.15 1.57 0.14
 -------- 22:00 0.17 ---- 0.15 1.54 0.14
 06.12.12 23:00 0.15 ---- 0.15 1.56 0.13
 -------- 00:00 0.15 ---- 0.14 1.53 0.13
 -------- 01:00 0.11 ---- 0.12 1.51 0.08
 -------- 02:00 0.11 ---- 0.11 1.48 0.07
 -------- 03:00 0.10 ---- 0.08 1.46 0.05
 07.12.12 04:00 0.11 ---- 0.09 1.47 0.07
 -------- 05:00 0.12 ---- 0.09 1.46 0.06
 -------- 06:00 0.16 ---- 0.14 1.51 0.14
 -------- 07:00 0.17 ---- 0.14 1.54 0.15
 -------- 08:00 0.19 ---- 0.13 1.53 0.13
 07.12.12 09:00 0.22 ---- 0.14 1.57 0.15
 -------- 10:00 0.22 ---- 0.14 1.57 0.15
 -------- 11:00 0.21 ---- 0.17 1.60 0.18
 -------- 12:00 0.14 ---- 0.13 1.53 0.09
