 Date Time CO OZ NO2 NO
 07.02.13 00:00 0.18 0.07 0.25 0.10
 -------- 01:00 0.16 0.06 0.26 0.11
 -------- 02:00 0.13 0.11 0.23 0.07
 -------- 03:00 0.10 0.19 0.19 0.04
 -------- 04:00 0.09 0.16 0.20 0.06
 07.02.13 05:00 0.10 0.18 0.18 0.04
 -------- 06:00 0.12 0.14 0.20 0.07
 -------- 07:00 0.15 0.10 0.22 0.11
 -------- 08:00 0.19 0.10 0.21 0.09
 -------- 09:00 0.19 0.09 0.23 0.11
 07.02.13 10:00 0.17 0.09 0.23 0.10
 -------- 11:00 0.17 0.11 0.22 0.10
 -------- 12:00 0.15 0.12 0.21 0.09
 -------- 13:00 0.18 0.10 0.23 0.13
 -------- 14:00 0.18 0.11 0.23 0.12
 07.02.13 15:00 0.19 0.11 0.23 0.12
 -------- 16:00 0.19 0.10 0.23 0.12
 -------- 17:00 0.17 0.10 0.23 0.10
 -------- 18:00 0.14 0.16 0.19 0.07
 -------- 19:00 0.14 0.20 0.18 0.05
 07.02.13 20:00 0.15 0.15 0.18 0.06
 -------- 21:00 0.15 0.15 0.18 0.06
 -------- 22:00 0.12 0.15 0.18 0.06
 -------- 23:00 0.12 0.15 0.18 0.07
 -------- 00:00 0.10 0.17 0.17 0.05
 08.02.13 01:00 0.09 0.17 0.16 0.05
 -------- 02:00 0.08 0.20 0.15 0.04
 -------- 03:00 0.06 0.21 0.14 0.04
 -------- 04:00 0.07 0.20 0.15 0.04
 -------- 05:00 0.08 0.17 0.17 0.05
 08.02.13 06:00 0.11 0.11 0.21 0.10
 -------- 07:00 0.14 0.11 0.21 0.09
 -------- 08:00 0.16 0.12 0.21 0.10
 -------- 09:00 0.19 0.09 0.21 0.10
 -------- 10:00 0.23 0.09 0.21 0.12
 08.02.13 11:00 0.19 0.10 0.21 0.12
 -------- 12:00 0.21 0.10 0.22 0.12
 -------- 13:00 0.20 0.10 0.21 0.12
 -------- 14:00 0.20 0.10 0.21 0.12
 -------- 15:00 0.21 0.10 0.21 0.12
 08.02.13 16:00 0.20 0.07 0.22 0.13
 -------- 17:00 0.25 0.06 0.24 0.15
 -------- 18:00 0.21 0.06 0.23 0.12
 -------- 19:00 0.20 0.05 0.24 0.14
 -------- 20:00 0.15 0.08 0.22 0.09
 08.02.13 21:00 0.13 0.12 0.19 0.06
 -------- 22:00 0.14 0.13 0.20 0.07
 -------- 23:00 0.12 0.19 0.17 0.04
