 Date Time OZ NO2 CHX NO
 20.12.12 12:00 ---- 0.24 ---- 0.38
 -------- 13:00 ---- 0.24 ---- 0.36
 -------- 14:00 ---- 0.26 ---- 0.39
 -------- 15:00 ---- 0.25 ---- 0.35
 -------- 16:00 ---- 0.26 ---- 0.35
 20.12.12 17:00 ---- 0.24 ---- 0.29
 -------- 18:00 ---- 0.24 ---- 0.25
 -------- 19:00 ---- 0.23 ---- 0.25
 -------- 20:00 ---- 0.22 ---- 0.30
 -------- 21:00 ---- 0.19 ---- 0.28
 20.12.12 22:00 ---- 0.19 ---- 0.21
 -------- 23:00 ---- 0.18 ---- 0.18
 -------- 00:00 ---- 0.17 ---- 0.21
 -------- 01:00 ---- 0.17 ---- 0.24
 -------- 02:00 ---- 0.18 ---- 0.23
 21.12.12 03:00 ---- 0.17 ---- 0.21
 -------- 04:00 ---- 0.15 ---- 0.15
 -------- 05:00 ---- 0.17 ---- 0.19
 -------- 06:00 ---- 0.17 ---- 0.26
 -------- 07:00 ---- 0.18 ---- 0.31
 21.12.12 08:00 ---- 0.18 ---- 0.29
 -------- 09:00 ---- 0.19 ---- 0.36
 -------- 10:00 ---- 0.21 ---- 0.40
 -------- 11:00 ---- 0.21 ---- 0.39
 -------- 12:00 ---- 0.21 ---- 0.37
 21.12.12 13:00 ---- 0.21 ---- 0.38
 -------- 14:00 ---- 0.23 ---- 0.45
 -------- 15:00 ---- 0.23 ---- 0.48
 -------- 16:00 ---- 0.25 ---- 0.42
 -------- 17:00 ---- 0.24 ---- 0.40
 21.12.12 18:00 ---- 0.22 ---- 0.33
 -------- 19:00 ---- 0.20 ---- 0.27
 -------- 20:00 ---- 0.21 ---- 0.36
 -------- 21:00 ---- 0.20 ---- 0.29
 -------- 22:00 ---- 0.19 ---- 0.27
 21.12.12 23:00 ---- 0.20 ---- 0.28
 -------- 00:00 ---- 0.18 ---- 0.25
 -------- 01:00 ---- 0.18 ---- 0.22
 -------- 02:00 ---- 0.20 ---- 0.24
 -------- 03:00 ---- 0.19 ---- 0.21
 22.12.12 04:00 ---- 0.19 ---- 0.20
 -------- 05:00 ---- 0.20 ---- 0.19
 -------- 06:00 ---- 0.21 ---- 0.22
 -------- 07:00 ---- 0.24 ---- 0.31
 -------- 08:00 ---- 0.28 ---- 0.37
 22.12.12 09:00 ---- 0.23 ---- 0.27
 -------- 10:00 ---- 0.26 ---- 0.39
 -------- 11:00 ---- 0.22 ---- 0.27
