 Date Time OZ NO2 CHX NO
 01.10.12 00:00 0.21 0.10 1.56 0.03
 -------- 01:00 0.26 0.08 1.53 0.02
 -------- 02:00 0.31 0.05 1.49 0.01
 -------- 03:00 0.31 0.04 1.45 0.01
 -------- 04:00 0.33 0.04 1.44 0.01
 01.10.12 05:00 0.32 0.05 1.42 0.02
 -------- 06:00 0.29 0.06 1.42 0.02
 -------- 07:00 0.24 0.09 1.42 0.03
 -------- 08:00 0.20 0.11 1.43 0.04
 -------- 09:00 0.18 0.11 1.44 0.04
 01.10.12 10:00 0.18 0.15 1.44 0.07
 -------- 11:00 0.25 0.09 1.45 0.04
 -------- 12:00 0.27 0.09 1.44 0.04
 -------- 13:00 0.23 0.56 1.70 0.23
 -------- 14:00 0.24 0.18 1.70 0.08
 01.10.12 15:00 0.25 0.11 1.52 0.04
 -------- 16:00 0.23 0.11 1.49 0.04
 -------- 17:00 0.21 0.12 1.47 0.04
 -------- 18:00 0.16 0.15 1.46 0.06
 -------- 19:00 0.17 0.15 1.46 0.04
 01.10.12 20:00 0.10 0.19 1.47 0.07
 -------- 21:00 0.05 0.23 1.48 0.17
 -------- 22:00 0.04 0.26 1.52 0.25
 -------- 23:00 0.04 0.21 1.55 0.17
 -------- 00:00 0.04 0.22 1.55 0.19
 02.10.12 01:00 0.04 0.18 1.55 0.18
 -------- 02:00 0.04 0.18 1.56 0.20
 -------- 03:00 0.04 0.17 1.57 0.13
 -------- 04:00 0.04 0.15 1.60 0.06
 -------- 05:00 0.04 0.14 1.57 0.06
 02.10.12 06:00 0.04 0.14 1.58 0.07
 -------- 07:00 0.04 0.14 1.60 0.09
 -------- 08:00 0.04 0.16 1.63 0.24
 -------- 09:00 0.04 0.20 1.95 0.40
 -------- 10:00 0.05 0.32 2.17 0.63
