 Date Time OZ NO2 CHX NO
 03.10.12 12:00 0.04 0.56 1.69 0.53
 -------- 13:00 0.05 0.56 1.68 0.54
 -------- 14:00 0.05 0.55 1.66 0.51
 -------- 15:00 0.05 0.55 1.65 0.51
 -------- 16:00 0.04 0.57 1.66 0.53
 03.10.12 17:00 0.04 0.55 1.68 0.53
 -------- 18:00 0.04 0.56 1.69 0.48
 -------- 19:00 0.04 0.55 1.71 0.48
 -------- 20:00 0.04 0.54 1.74 0.53
 -------- 21:00 0.04 0.54 1.76 0.61
 03.10.12 22:00 0.04 0.55 1.80 0.65
 -------- 23:00 0.04 0.56 1.81 0.72
 -------- 00:00 0.04 0.54 1.82 0.66
 -------- 01:00 0.04 0.53 1.82 0.57
 -------- 02:00 0.04 0.54 1.80 0.62
 04.10.12 03:00 0.04 0.53 1.80 0.62
 -------- 04:00 0.04 0.52 1.89 0.63
 -------- 05:00 0.04 0.50 2.03 0.62
 -------- 06:00 0.04 0.49 2.09 0.62
 -------- 07:00 0.04 0.48 2.02 0.58
 04.10.12 08:00 0.04 0.47 1.95 0.59
 -------- 09:00 0.04 0.47 1.94 0.53
 -------- 10:00 0.05 0.47 1.85 0.46
 -------- 11:00 0.05 0.47 1.78 0.44
 -------- 12:00 0.05 0.48 1.75 0.45
 05.10.12 07:00 0.04 0.51 1.69 0.56
 -------- 08:00 0.04 0.50 1.77 0.56
 -------- 09:00 0.04 0.51 1.84 0.60
