 Date Time CO OZ NO2 CHX NO
 20.11.12 00:00 0.42 0.04 0.09 1.50 0.07
 -------- 01:00 0.42 0.05 0.08 1.49 0.05
 -------- 02:00 0.42 0.05 0.08 1.48 0.04
 -------- 03:00 0.42 0.05 0.07 1.47 0.03
 -------- 04:00 0.42 0.05 0.07 1.46 0.03
 20.11.12 05:00 0.42 0.06 0.06 1.44 0.03
 -------- 06:00 0.44 0.05 0.07 1.44 0.05
 -------- 07:00 0.45 0.04 0.07 1.43 0.04
 -------- 08:00 0.48 0.05 0.09 1.44 0.09
 -------- 09:00 0.49 0.04 0.09 1.44 0.08
 20.11.12 10:00 0.52 0.05 0.08 1.45 0.06
 -------- 11:00 0.49 0.05 0.09 1.45 0.08
 -------- 12:00 0.49 0.05 0.10 1.47 0.21
 -------- 13:00 0.52 0.05 0.13 1.52 0.26
 -------- 14:00 0.53 0.05 0.14 1.54 0.21
 20.11.12 15:00 0.52 0.06 0.16 1.54 0.15
 -------- 16:00 0.47 0.07 0.17 1.52 0.10
 -------- 17:00 0.47 0.07 0.15 1.50 0.07
 -------- 18:00 0.47 0.08 0.16 1.48 0.09
 -------- 19:00 0.47 0.07 0.16 1.48 0.08
 20.11.12 20:00 0.47 0.07 0.15 1.48 0.09
 -------- 21:00 0.49 0.08 0.14 1.46 0.07
 -------- 22:00 0.53 0.09 0.13 1.45 0.06
 -------- 23:00 0.49 0.08 0.15 1.45 0.09
 -------- 00:00 0.47 0.08 0.15 1.43 0.10
 21.11.12 01:00 0.46 0.12 0.12 1.43 0.06
 -------- 02:00 0.45 0.12 0.13 1.42 0.07
 -------- 03:00 0.44 0.19 0.07 1.41 0.02
 -------- 04:00 0.44 0.15 0.10 1.41 0.03
 -------- 05:00 0.44 0.15 0.11 1.42 0.04
 21.11.12 06:00 0.45 0.13 0.11 1.41 0.04
 -------- 07:00 0.51 0.07 0.18 1.44 0.23
 -------- 08:00 0.56 0.05 0.22 1.50 0.31
 -------- 09:00 0.59 0.05 0.20 1.52 0.27
 -------- 10:00 0.58 0.05 0.20 1.53 0.23
 21.11.12 11:00 0.53 0.05 0.18 1.53 0.27
 -------- 12:00 0.53 0.05 0.18 1.55 0.27
 -------- 13:00 0.52 0.05 0.15 1.56 0.10
 -------- 14:00 0.53 0.05 0.15 1.53 0.11
