 Date Time CO OZ NO2 NO
 02.01.13 00:00 0.14 0.05 0.10 0.04
 -------- 01:00 0.15 0.05 0.10 0.04
 -------- 02:00 0.17 0.05 0.11 0.08
 -------- 03:00 0.16 0.05 0.11 0.06
 -------- 04:00 0.14 0.05 0.06 0.03
 02.01.13 05:00 0.12 0.05 0.07 0.03
 -------- 06:00 0.12 0.05 0.06 0.03
 -------- 07:00 0.12 0.05 0.07 0.03
 -------- 08:00 0.12 0.05 0.07 0.03
 -------- 09:00 0.12 0.05 0.08 0.04
 02.01.13 10:00 0.12 0.05 0.09 0.03
 -------- 11:00 0.14 0.05 0.11 0.06
 -------- 12:00 0.15 0.05 0.08 0.04
 -------- 13:00 0.14 0.04 0.08 0.04
 -------- 14:00 0.16 0.05 0.11 0.05
 02.01.13 15:00 0.19 0.05 0.12 0.06
 -------- 16:00 0.19 0.05 0.14 0.07
 -------- 17:00 0.19 0.05 0.15 0.08
 -------- 18:00 0.21 0.05 0.15 0.08
 -------- 19:00 0.21 0.05 0.16 0.08
 02.01.13 20:00 0.21 0.04 0.13 0.06
 -------- 21:00 0.19 0.05 0.14 0.06
 -------- 22:00 0.16 0.05 0.15 0.09
 -------- 23:00 0.16 0.05 0.16 0.08
 -------- 00:00 0.15 0.05 0.16 0.06
 03.01.13 01:00 0.13 0.05 0.14 0.05
 -------- 02:00 0.12 0.05 0.10 0.04
 -------- 03:00 0.11 0.05 0.09 0.03
 -------- 04:00 0.10 0.05 0.11 0.04
 -------- 05:00 0.09 0.06 0.09 0.03
 03.01.13 06:00 0.09 0.05 0.08 0.03
 -------- 07:00 0.12 0.06 0.13 0.06
 -------- 08:00 0.13 0.05 0.12 0.05
 -------- 09:00 0.15 0.05 0.14 0.06
 -------- 10:00 0.20 0.05 0.14 0.08
 03.01.13 11:00 0.21 0.06 0.15 0.08
 -------- 12:00 0.24 0.05 0.17 0.12
 -------- 13:00 0.27 0.05 0.17 0.12
 -------- 14:00 0.27 0.05 0.18 0.13
 -------- 15:00 0.27 0.05 0.15 0.09
 03.01.13 16:00 0.23 0.05 0.12 0.04
 -------- 17:00 0.22 0.05 0.09 0.03
 -------- 18:00 0.21 0.05 0.08 0.03
 -------- 19:00 0.21 0.05 0.12 0.08
 -------- 20:00 0.26 0.05 0.15 0.12
 03.01.13 21:00 0.23 0.05 0.13 0.08
 -------- 22:00 0.21 0.05 0.14 0.11
 -------- 23:00 0.18 0.05 0.12 0.07
