 Date Time CO OZ NO2 NO
 15.04.13 00:00 ---- 0.06 0.42 0.30
 -------- 01:00 ---- 0.10 0.37 0.13
 -------- 02:00 ---- 0.17 0.30 0.05
 -------- 03:00 ---- 0.14 0.31 0.06
 -------- 04:00 ---- 0.11 0.31 0.07
 15.04.13 05:00 ---- 0.08 0.33 0.10
 -------- 06:00 ---- 0.06 0.38 0.38
 -------- 07:00 ---- 0.06 0.39 0.31
 -------- 08:00 ---- 0.06 0.38 0.25
 -------- 09:00 ---- 0.07 0.36 0.21
 15.04.13 10:00 ---- 0.08 0.38 0.21
 -------- 11:00 ---- 0.09 0.40 0.22
 -------- 12:00 ---- 0.13 0.40 0.17
 -------- 13:00 ---- 0.22 0.36 0.10
 -------- 14:00 ---- 0.24 0.35 0.10
 15.04.13 15:00 ---- 0.28 0.34 0.08
 -------- 16:00 ---- 0.30 0.34 0.08
 -------- 17:00 ---- 0.32 0.33 0.07
 -------- 18:00 ---- 0.42 0.28 0.04
 -------- 19:00 ---- 0.40 0.30 0.04
 15.04.13 20:00 ---- 0.20 0.40 0.07
 -------- 21:00 ---- 0.13 0.42 0.09
 -------- 22:00 ---- 0.09 0.46 0.15
 -------- 23:00 ---- 0.06 0.47 0.22
 -------- 00:00 ---- 0.06 0.45 0.20
 16.04.13 01:00 ---- 0.06 0.46 0.27
 -------- 02:00 ---- 0.06 0.45 0.25
 -------- 03:00 ---- 0.05 0.48 0.34
 -------- 04:00 ---- 0.06 0.48 0.50
 -------- 05:00 ---- 0.06 0.47 0.53
 16.04.13 06:00 ---- 0.09 0.39 0.14
 -------- 07:00 ---- 0.06 0.47 0.52
 -------- 08:00 ---- 0.06 0.49 0.46
 -------- 09:00 0.18 0.12 0.40 0.14
 -------- 10:00 0.17 0.23 0.34 0.06
 16.04.13 11:00 0.19 0.29 0.31 0.06
 -------- 12:00 0.16 0.39 0.25 0.04
 -------- 13:00 0.15 0.49 0.18 0.02
 -------- 14:00 0.16 0.49 0.19 0.02
 -------- 15:00 0.17 0.52 0.19 0.03
 16.04.13 16:00 0.16 0.62 0.15 0.02
 -------- 17:00 0.18 0.58 0.17 0.02
 -------- 18:00 0.18 0.59 0.15 0.02
 -------- 19:00 0.17 0.62 0.15 0.01
 -------- 20:00 0.19 0.52 0.18 0.01
 16.04.13 21:00 0.21 0.39 0.22 0.02
 -------- 22:00 0.03 0.19 0.31 0.03
 -------- 23:00 0.07 0.10 0.36 0.11
