 Date Time CO OZ NO2 NO
 20.01.13 12:00 0.39 0.06 0.33 0.29
 -------- 13:00 0.45 0.06 0.35 0.38
 -------- 14:00 0.43 0.06 0.36 0.36
 -------- 15:00 0.39 0.06 0.33 0.30
 -------- 16:00 0.45 0.06 0.35 0.36
 20.01.13 17:00 0.42 0.06 0.33 0.34
 -------- 18:00 0.41 0.06 0.32 0.33
 -------- 19:00 0.42 0.06 0.32 0.34
 -------- 20:00 0.37 0.05 0.30 0.29
 -------- 21:00 0.29 0.05 0.28 0.23
 20.01.13 22:00 0.27 0.06 0.26 0.21
 -------- 23:00 0.21 0.05 0.25 0.15
 -------- 00:00 0.21 0.05 0.24 0.16
 -------- 01:00 0.21 0.05 0.24 0.20
 -------- 02:00 0.18 0.05 0.23 0.16
 21.01.13 03:00 0.17 0.05 0.24 0.20
 -------- 04:00 0.19 0.05 0.23 0.21
 -------- 05:00 0.18 0.05 0.23 0.19
 -------- 06:00 0.26 0.06 0.24 0.27
 -------- 07:00 0.22 0.05 0.23 0.22
 21.01.13 08:00 0.25 0.05 0.24 0.19
 -------- 09:00 0.42 0.05 0.24 0.17
 -------- 10:00 0.30 0.05 0.25 0.17
 -------- 11:00 0.25 0.05 0.24 0.14
 -------- 12:00 0.21 0.06 0.21 0.11
 21.01.13 13:00 0.17 0.07 0.19 0.08
 -------- 14:00 0.20 0.08 0.19 0.08
 -------- 15:00 0.17 0.08 0.20 0.08
 -------- 16:00 0.20 0.09 0.21 0.07
 -------- 17:00 0.18 0.08 0.21 0.06
 21.01.13 18:00 0.18 0.06 0.22 0.05
 -------- 19:00 0.17 0.06 0.23 0.04
 -------- 20:00 0.17 0.08 0.23 0.03
 -------- 21:00 0.18 0.08 0.24 0.04
 -------- 22:00 0.15 0.08 0.23 0.05
 21.01.13 23:00 0.14 0.08 0.23 0.04
 -------- 00:00 0.12 0.09 0.23 0.04
 -------- 01:00 0.13 0.09 0.23 0.05
 -------- 02:00 0.10 0.15 0.19 0.02
 -------- 03:00 0.10 0.16 0.19 0.02
 22.01.13 04:00 0.09 0.22 0.17 0.01
 -------- 05:00 0.10 0.17 0.20 0.03
 -------- 06:00 0.11 0.11 0.23 0.03
 -------- 07:00 0.14 0.08 0.25 0.06
 -------- 08:00 0.19 0.07 0.26 0.07
 22.01.13 09:00 0.19 0.06 0.26 0.07
 -------- 10:00 0.17 0.07 0.26 0.09
 -------- 11:00 0.17 0.09 0.26 0.09
