 Date Time OZ NO2 CHX NO
 22.12.12 00:00 ---- 0.18 ---- 0.25
 -------- 01:00 ---- 0.18 ---- 0.22
 -------- 02:00 ---- 0.20 ---- 0.24
 -------- 03:00 ---- 0.19 ---- 0.21
 -------- 04:00 ---- 0.19 ---- 0.20
 22.12.12 05:00 ---- 0.20 ---- 0.19
 -------- 06:00 ---- 0.21 ---- 0.22
 -------- 07:00 ---- 0.24 ---- 0.31
 -------- 08:00 ---- 0.28 ---- 0.37
 -------- 09:00 ---- 0.23 ---- 0.27
 22.12.12 10:00 ---- 0.26 ---- 0.39
 -------- 11:00 ---- 0.22 ---- 0.27
 -------- 12:00 ---- 0.23 ---- 0.29
 -------- 13:00 ---- 0.24 ---- 0.32
 -------- 14:00 ---- 0.22 ---- 0.22
 22.12.12 15:00 ---- 0.24 ---- 0.24
 -------- 16:00 ---- 0.23 ---- 0.25
 -------- 17:00 ---- 0.23 ---- 0.25
 -------- 18:00 ---- 0.25 ---- 0.29
 -------- 19:00 ---- 0.23 ---- 0.23
 22.12.12 20:00 ---- 0.20 ---- 0.14
 -------- 21:00 ---- 0.20 ---- 0.15
 -------- 22:00 ---- 0.19 ---- 0.13
 -------- 23:00 ---- 0.19 ---- 0.13
 -------- 00:00 ---- 0.17 ---- 0.11
 23.12.12 01:00 ---- 0.18 ---- 0.12
 -------- 02:00 ---- 0.17 ---- 0.09
 -------- 03:00 ---- 0.17 ---- 0.10
 -------- 04:00 ---- 0.18 ---- 0.12
 -------- 05:00 ---- 0.19 ---- 0.14
 23.12.12 06:00 ---- 0.18 ---- 0.09
 -------- 07:00 ---- 0.18 ---- 0.10
 -------- 08:00 ---- 0.19 ---- 0.13
 -------- 09:00 ---- 0.20 ---- 0.13
 -------- 10:00 ---- 0.22 ---- 0.25
 23.12.12 11:00 ---- 0.20 ---- 0.28
 -------- 12:00 ---- 0.19 ---- 0.26
 -------- 13:00 ---- 0.21 ---- 0.23
 -------- 14:00 ---- 0.21 ---- 0.25
 -------- 15:00 ---- 0.23 ---- 0.24
 23.12.12 16:00 ---- 0.24 ---- 0.34
 -------- 17:00 ---- 0.28 ---- 0.39
 -------- 18:00 ---- 0.27 ---- 0.41
 -------- 19:00 ---- 0.24 ---- 0.30
 -------- 20:00 ---- 0.23 ---- 0.30
 23.12.12 21:00 ---- 0.23 ---- 0.30
 -------- 22:00 ---- 0.22 ---- 0.29
 -------- 23:00 ---- 0.23 ---- 0.23
