 Date Time OZ NO2 CHX NO
 20.12.12 00:00 ---- 0.19 ---- 0.28
 -------- 01:00 ---- 0.20 ---- 0.33
 -------- 02:00 ---- 0.20 ---- 0.29
 -------- 03:00 ---- 0.19 ---- 0.26
 -------- 04:00 ---- 0.20 ---- 0.26
 20.12.12 05:00 ---- 0.20 ---- 0.29
 -------- 06:00 ---- 0.21 ---- 0.36
 -------- 07:00 ---- 0.22 ---- 0.36
 -------- 08:00 ---- 0.23 ---- 0.36
 -------- 09:00 ---- 0.22 ---- 0.32
 20.12.12 10:00 ---- 0.22 ---- 0.31
 -------- 11:00 ---- 0.24 ---- 0.33
 -------- 12:00 ---- 0.25 ---- 0.37
 -------- 13:00 ---- 0.24 ---- 0.36
 -------- 14:00 ---- 0.26 ---- 0.39
 20.12.12 15:00 ---- 0.25 ---- 0.35
 -------- 16:00 ---- 0.26 ---- 0.35
 -------- 17:00 ---- 0.24 ---- 0.29
 -------- 18:00 ---- 0.24 ---- 0.25
 -------- 19:00 ---- 0.23 ---- 0.25
 20.12.12 20:00 ---- 0.22 ---- 0.30
 -------- 21:00 ---- 0.19 ---- 0.28
 -------- 22:00 ---- 0.19 ---- 0.21
 -------- 23:00 ---- 0.18 ---- 0.18
 -------- 00:00 ---- 0.17 ---- 0.21
 21.12.12 01:00 ---- 0.17 ---- 0.24
 -------- 02:00 ---- 0.18 ---- 0.23
 -------- 03:00 ---- 0.17 ---- 0.21
 -------- 04:00 ---- 0.15 ---- 0.15
 -------- 05:00 ---- 0.17 ---- 0.19
 21.12.12 06:00 ---- 0.17 ---- 0.26
 -------- 07:00 ---- 0.18 ---- 0.31
 -------- 08:00 ---- 0.18 ---- 0.29
 -------- 09:00 ---- 0.19 ---- 0.36
 -------- 10:00 ---- 0.21 ---- 0.40
 21.12.12 11:00 ---- 0.21 ---- 0.39
 -------- 12:00 ---- 0.21 ---- 0.37
 -------- 13:00 ---- 0.21 ---- 0.38
 -------- 14:00 ---- 0.23 ---- 0.45
 -------- 15:00 ---- 0.23 ---- 0.48
 21.12.12 16:00 ---- 0.25 ---- 0.42
 -------- 17:00 ---- 0.24 ---- 0.40
 -------- 18:00 ---- 0.22 ---- 0.33
 -------- 19:00 ---- 0.20 ---- 0.27
 -------- 20:00 ---- 0.21 ---- 0.36
 21.12.12 21:00 ---- 0.20 ---- 0.29
 -------- 22:00 ---- 0.19 ---- 0.27
 -------- 23:00 ---- 0.20 ---- 0.28
