 Date Time OZ NO2 CHX NO
 02.10.12 12:00 0.09 0.49 1.69 0.32
 -------- 13:00 0.10 0.60 1.71 0.40
 -------- 14:00 0.12 0.66 1.68 0.40
 -------- 15:00 0.14 0.68 1.62 0.39
 -------- 16:00 0.16 0.66 1.59 0.36
 02.10.12 17:00 0.09 0.66 1.59 0.41
 -------- 18:00 0.07 0.65 1.59 0.42
 -------- 19:00 0.08 0.65 1.60 0.41
 -------- 20:00 0.05 0.68 1.64 0.50
 -------- 21:00 0.04 0.67 1.67 0.52
 02.10.12 22:00 0.04 0.66 1.73 0.54
 -------- 23:00 0.04 0.66 1.72 0.52
 -------- 00:00 0.04 0.64 1.68 0.47
 -------- 01:00 0.04 0.62 1.66 0.49
 -------- 02:00 0.04 0.60 1.65 0.43
 03.10.12 03:00 0.04 0.60 1.64 0.42
 -------- 04:00 0.06 0.58 1.63 0.38
 -------- 05:00 0.07 0.56 1.61 0.36
 -------- 06:00 0.06 0.53 1.61 0.35
 -------- 07:00 0.05 0.53 1.63 0.41
 03.10.12 08:00 0.05 0.54 1.63 0.42
 -------- 09:00 0.04 0.54 1.64 0.41
 -------- 10:00 0.04 0.54 1.66 0.47
 -------- 11:00 0.04 0.55 1.68 0.51
 -------- 12:00 0.04 0.56 1.68 0.52
 03.10.12 13:00 0.05 0.56 1.68 0.54
 -------- 14:00 0.05 0.55 1.66 0.51
 -------- 15:00 0.05 0.55 1.65 0.51
 -------- 16:00 0.04 0.57 1.66 0.53
 -------- 17:00 0.04 0.55 1.68 0.53
 03.10.12 18:00 0.04 0.56 1.69 0.48
 -------- 19:00 0.04 0.55 1.71 0.48
 -------- 20:00 0.04 0.54 1.74 0.53
 -------- 21:00 0.04 0.54 1.76 0.61
 -------- 22:00 0.04 0.55 1.80 0.65
 03.10.12 23:00 0.04 0.56 1.81 0.72
 -------- 00:00 0.04 0.54 1.82 0.66
 -------- 01:00 0.04 0.53 1.82 0.57
 -------- 02:00 0.04 0.54 1.80 0.62
 -------- 03:00 0.04 0.53 1.80 0.62
 04.10.12 04:00 0.04 0.52 1.89 0.63
 -------- 05:00 0.04 0.50 2.03 0.62
 -------- 06:00 0.04 0.49 2.09 0.62
 -------- 07:00 0.04 0.48 2.02 0.58
 -------- 08:00 0.04 0.47 1.95 0.59
 04.10.12 09:00 0.04 0.47 1.94 0.53
 -------- 10:00 0.05 0.47 1.85 0.46
 -------- 11:00 0.05 0.47 1.79 0.43
