 Date Time CO OZ NO2 CHX NO
 15.12.12 12:00 0.27 ---- 0.19 1.69 0.21
 -------- 13:00 0.30 ---- 0.19 1.73 0.20
 -------- 14:00 0.29 ---- 0.19 1.72 0.19
 -------- 15:00 0.25 ---- 0.19 1.68 0.19
 -------- 16:00 0.26 ---- 0.20 1.64 0.16
 15.12.12 17:00 0.25 ---- 0.21 1.67 0.18
 -------- 18:00 0.23 ---- 0.20 1.66 0.18
 -------- 19:00 0.26 ---- 0.20 1.68 0.22
 -------- 20:00 0.21 ---- 0.18 1.63 0.19
 -------- 21:00 0.14 ---- 0.15 1.55 0.11
 15.12.12 22:00 0.09 ---- 0.15 1.55 0.10
 -------- 23:00 0.06 ---- 0.14 1.54 0.08
 -------- 00:00 0.06 ---- 0.13 1.54 0.08
 -------- 01:00 0.06 ---- 0.13 1.54 0.07
 -------- 02:00 0.04 ---- 0.13 1.54 0.06
 16.12.12 03:00 0.03 ---- 0.11 1.55 0.05
 -------- 04:00 0.02 ---- 0.12 1.54 0.06
 -------- 05:00 0.05 ---- 0.14 1.64 0.14
 -------- 06:00 0.08 ---- 0.15 1.64 0.14
 -------- 07:00 0.11 ---- 0.16 1.65 0.17
 16.12.12 08:00 0.09 ---- 0.15 1.63 0.13
 -------- 09:00 0.07 ---- 0.14 1.59 0.11
 -------- 10:00 0.12 ---- 0.13 1.58 0.11
 -------- 11:00 0.13 ---- 0.14 1.60 0.13
 -------- 12:00 0.15 ---- 0.13 1.60 0.13
 16.12.12 13:00 0.15 ---- 0.14 1.61 0.13
 -------- 14:00 0.17 ---- 0.15 1.61 0.14
 -------- 15:00 0.18 ---- 0.16 1.62 0.13
 -------- 16:00 0.25 ---- 0.19 1.69 0.21
 -------- 17:00 0.26 ---- 0.20 1.68 0.21
 16.12.12 18:00 0.29 ---- 0.21 1.70 0.22
 -------- 19:00 0.29 ---- 0.21 1.73 0.26
 -------- 20:00 0.27 ---- 0.21 1.72 0.24
 -------- 21:00 0.24 ---- 0.21 1.70 0.24
 -------- 22:00 0.23 ---- 0.20 1.68 0.23
 16.12.12 23:00 0.24 ---- 0.22 1.73 0.28
 -------- 00:00 0.25 ---- 0.20 1.80 0.31
 -------- 01:00 0.23 ---- 0.19 1.78 0.26
 -------- 02:00 0.19 ---- 0.19 1.77 0.17
 -------- 03:00 0.24 ---- 0.22 1.90 0.28
 17.12.12 04:00 0.15 ---- 0.19 1.83 0.20
 -------- 05:00 0.19 ---- 0.21 1.85 0.28
 -------- 06:00 0.22 ---- 0.23 2.30 0.36
 -------- 07:00 0.28 ---- 0.23 2.15 0.40
 -------- 08:00 0.39 ---- 0.28 2.11 0.52
 17.12.12 09:00 0.43 ---- 0.31 2.12 0.55
 -------- 10:00 0.41 ---- 0.29 2.00 0.51
 -------- 11:00 0.39 ---- 0.29 1.90 0.51
