 Date Time CO OZ NO2 CHX NO
 16.12.12 12:00 0.15 ---- 0.13 1.60 0.12
 -------- 13:00 0.15 ---- 0.14 1.61 0.13
 -------- 14:00 0.17 ---- 0.15 1.61 0.14
 -------- 15:00 0.18 ---- 0.16 1.62 0.13
 -------- 16:00 0.25 ---- 0.19 1.69 0.21
 16.12.12 17:00 0.26 ---- 0.20 1.68 0.21
 -------- 18:00 0.29 ---- 0.21 1.70 0.22
 -------- 19:00 0.29 ---- 0.21 1.73 0.26
 -------- 20:00 0.27 ---- 0.21 1.72 0.24
 -------- 21:00 0.24 ---- 0.21 1.70 0.24
 16.12.12 22:00 0.23 ---- 0.20 1.68 0.23
 -------- 23:00 0.24 ---- 0.22 1.73 0.28
 -------- 00:00 0.25 ---- 0.20 1.80 0.31
 -------- 01:00 0.23 ---- 0.19 1.78 0.26
 -------- 02:00 0.19 ---- 0.19 1.77 0.17
 17.12.12 03:00 0.24 ---- 0.22 1.90 0.28
 -------- 04:00 0.15 ---- 0.19 1.83 0.20
 -------- 05:00 0.19 ---- 0.21 1.85 0.28
 -------- 06:00 0.22 ---- 0.23 2.30 0.36
 -------- 07:00 0.28 ---- 0.23 2.15 0.40
 17.12.12 08:00 0.39 ---- 0.28 2.11 0.52
 -------- 09:00 0.43 ---- 0.31 2.12 0.55
 -------- 10:00 0.41 ---- 0.29 2.00 0.51
 -------- 11:00 0.39 ---- 0.29 1.90 0.51
 -------- 12:00 0.41 ---- 0.31 1.95 0.51
 17.12.12 13:00 0.41 ---- 0.31 1.90 0.46
 -------- 14:00 0.36 ---- 0.32 1.84 0.44
 -------- 15:00 0.35 ---- 0.30 1.85 0.39
 -------- 16:00 0.29 ---- 0.26 1.74 0.25
 -------- 17:00 0.28 ---- 0.27 1.72 0.25
 17.12.12 18:00 0.25 ---- 0.24 1.87 0.20
 -------- 19:00 0.25 ---- 0.24 1.77 0.19
 -------- 20:00 0.23 ---- 0.21 1.82 0.16
 -------- 21:00 0.19 ---- 0.18 1.64 0.12
 -------- 22:00 0.17 ---- 0.17 1.58 0.12
 17.12.12 23:00 0.16 ---- 0.18 1.58 0.13
 -------- 00:00 0.10 ---- 0.17 1.35 0.14
 -------- 01:00 0.12 ---- 0.15 ---- 0.10
 -------- 02:00 ---- ---- 0.14 ---- 0.10
 -------- 03:00 ---- ---- 0.14 ---- 0.08
 18.12.12 04:00 ---- ---- 0.14 ---- 0.07
 -------- 05:00 ---- ---- 0.15 ---- 0.11
 -------- 06:00 ---- ---- 0.15 ---- 0.15
 -------- 07:00 ---- ---- 0.18 ---- 0.26
 -------- 08:00 ---- ---- 0.19 ---- 0.26
 18.12.12 09:00 ---- ---- 0.19 ---- 0.26
 -------- 10:00 ---- ---- 0.20 ---- 0.27
 -------- 11:00 1.92 ---- 0.20 ---- 0.27
 -------- 12:00 1.92 ---- 0.21 ---- 0.31
