 Date Time CO NO2 CHX NO
 26.11.12 12:00 0.24 0.09 1.69 0.21
 -------- 13:00 0.26 0.10 1.69 0.27
 -------- 14:00 0.32 0.14 1.79 0.25
 -------- 15:00 0.30 0.12 1.82 0.30
 -------- 16:00 0.26 0.12 1.81 0.22
 26.11.12 17:00 0.21 0.09 1.76 0.16
 -------- 18:00 0.19 0.08 1.67 0.12
 -------- 19:00 0.18 0.07 1.63 0.09
 -------- 20:00 0.19 0.07 1.61 0.09
 -------- 21:00 0.19 0.07 1.60 0.10
 26.11.12 22:00 0.22 0.07 1.59 0.09
 -------- 23:00 0.21 0.06 1.58 0.09
 -------- 00:00 0.19 0.06 1.56 0.07
 -------- 01:00 0.18 0.07 1.56 0.08
 -------- 02:00 0.16 0.05 1.63 0.05
 27.11.12 03:00 0.17 0.06 1.81 0.05
 -------- 04:00 0.17 0.06 1.70 0.05
 -------- 05:00 0.18 0.06 1.68 0.05
 -------- 06:00 0.19 0.06 1.66 0.07
 -------- 07:00 0.21 0.10 1.60 0.11
 27.11.12 08:00 0.21 0.09 1.60 0.10
 -------- 09:00 0.21 0.08 1.61 0.11
 -------- 10:00 0.21 0.08 1.61 0.11
 -------- 11:00 0.19 0.08 1.60 0.11
 -------- 12:00 0.20 0.08 1.61 0.10
 27.11.12 13:00 0.13 0.09 1.62 0.09
 -------- 14:00 0.07 0.08 1.64 0.07
 -------- 15:00 0.09 0.08 1.66 0.08
 -------- 16:00 0.12 0.08 1.65 0.06
 -------- 17:00 0.17 0.08 1.66 0.07
 27.11.12 18:00 0.19 0.08 1.66 0.06
 -------- 19:00 0.18 0.08 1.65 0.06
 -------- 20:00 0.19 0.09 1.65 0.07
 -------- 21:00 0.19 0.09 1.64 0.08
 -------- 22:00 0.23 0.09 1.62 0.07
 27.11.12 23:00 0.22 0.09 1.60 0.07
 -------- 00:00 0.22 0.10 1.60 0.11
 -------- 01:00 0.19 0.09 1.58 0.08
 -------- 02:00 0.19 0.09 1.58 0.07
 -------- 03:00 0.18 0.08 1.56 0.05
 28.11.12 04:00 0.18 0.07 1.58 0.04
 -------- 05:00 0.22 0.09 1.71 0.14
 -------- 06:00 0.26 0.11 1.84 0.28
 -------- 07:00 0.31 0.12 1.90 0.36
 -------- 08:00 0.35 0.12 2.01 0.36
 28.11.12 09:00 0.33 0.11 1.85 0.32
 -------- 10:00 0.33 0.12 1.77 0.29
 -------- 11:00 0.27 0.10 1.72 0.25
