 Date Time CO OZ NO2 NO
 16.01.13 12:00 0.27 0.06 0.34 0.23
 -------- 13:00 0.29 0.06 0.29 0.22
 -------- 14:00 0.31 0.06 0.30 0.25
 -------- 15:00 0.31 0.05 0.30 0.24
 -------- 16:00 0.35 0.05 0.32 0.32
 16.01.13 17:00 0.34 0.05 0.32 0.25
 -------- 18:00 0.32 0.05 0.31 0.25
 -------- 19:00 0.37 0.05 0.29 0.28
 -------- 20:00 0.27 0.05 0.27 0.17
 -------- 21:00 0.28 0.05 0.26 0.19
 16.01.13 22:00 0.22 0.05 0.25 0.16
 -------- 23:00 0.21 0.05 0.24 0.15
 -------- 00:00 0.21 0.05 0.26 0.17
 -------- 01:00 0.17 0.05 0.24 0.13
 -------- 02:00 0.16 0.05 0.24 0.12
 17.01.13 03:00 0.14 0.06 0.22 0.09
 -------- 04:00 0.13 0.07 0.22 0.08
 -------- 05:00 0.13 0.07 0.22 0.10
 -------- 06:00 0.15 0.07 0.23 0.11
 -------- 07:00 0.20 0.06 0.24 0.15
 17.01.13 08:00 0.25 0.06 0.25 0.15
 -------- 09:00 0.22 0.06 0.24 0.15
 -------- 10:00 0.23 0.06 0.25 0.17
 -------- 11:00 0.26 0.06 0.26 0.18
 -------- 12:00 0.21 0.08 0.24 0.16
 17.01.13 13:00 0.21 0.08 0.24 0.16
 -------- 14:00 0.21 0.08 0.23 0.14
 -------- 15:00 0.17 0.07 0.25 0.14
 -------- 16:00 0.18 0.07 0.23 0.15
 -------- 17:00 0.17 0.07 0.23 0.12
 17.01.13 18:00 0.17 0.07 0.22 0.10
 -------- 19:00 0.16 0.07 0.23 0.09
 -------- 20:00 0.17 0.07 0.23 0.08
 -------- 21:00 0.15 0.08 0.22 0.08
 -------- 22:00 0.17 0.09 0.21 0.07
 17.01.13 23:00 0.15 0.09 0.21 0.07
 -------- 00:00 0.13 0.10 0.20 0.06
 -------- 01:00 0.12 0.10 0.20 0.06
 -------- 02:00 0.12 0.11 0.19 0.05
 -------- 03:00 0.11 0.10 0.20 0.05
 18.01.13 04:00 0.12 0.11 0.19 0.05
 -------- 05:00 0.12 0.10 0.20 0.06
 -------- 06:00 0.15 0.09 0.21 0.08
 -------- 07:00 0.17 0.08 0.22 0.10
 -------- 08:00 0.21 0.06 0.25 0.14
 18.01.13 09:00 0.19 0.06 0.24 0.12
 -------- 10:00 0.19 0.06 0.25 0.13
 -------- 11:00 0.20 0.07 0.25 0.16
 -------- 12:00 0.18 0.07 0.23 0.14
