 Date Time CO OZ NO2 CHX NO
 25.10.12 12:00 ---- 0.11 0.17 1.54 0.19
 -------- 13:00 ---- 0.12 0.17 1.54 0.19
 -------- 14:00 ---- 0.14 0.17 1.55 0.17
 -------- 15:00 ---- 0.15 0.16 1.55 0.15
 -------- 16:00 ---- 0.14 0.17 1.54 0.13
 25.10.12 17:00 ---- 0.14 0.17 1.54 0.14
 -------- 18:00 ---- 0.20 0.16 1.54 0.10
 -------- 19:00 ---- 0.17 0.16 1.55 0.10
 -------- 20:00 ---- 0.17 0.15 1.53 0.10
 -------- 21:00 ---- 0.17 0.16 1.51 0.11
 25.10.12 22:00 ---- 0.21 0.16 1.49 0.11
 -------- 23:00 ---- 0.23 0.15 1.47 0.10
 -------- 00:00 ---- 0.24 0.14 1.47 0.08
 -------- 01:00 ---- 0.26 0.12 1.48 0.06
 -------- 02:00 ---- 0.28 0.12 1.48 0.05
 26.10.12 03:00 ---- 0.26 0.12 1.47 0.05
 -------- 04:00 ---- 0.24 0.12 1.47 0.04
 -------- 05:00 ---- 0.15 0.13 1.48 0.06
 -------- 06:00 ---- 0.11 0.14 1.50 0.10
 -------- 07:00 ---- 0.12 0.14 1.50 0.12
 26.10.12 08:00 ---- 0.12 0.14 1.50 0.13
 -------- 09:00 ---- 0.12 0.15 1.52 0.13
 -------- 10:00 ---- 0.10 0.16 1.54 0.14
 -------- 11:00 ---- 0.11 0.14 1.58 0.13
 -------- 12:00 ---- 0.08 0.16 1.59 0.16
 26.10.12 13:00 ---- 0.13 0.15 1.58 0.13
 -------- 14:00 ---- 0.21 0.15 1.54 0.10
 -------- 15:00 ---- 0.20 0.15 1.53 0.11
 -------- 16:00 ---- 0.16 0.15 1.52 0.09
 -------- 17:00 ---- 0.14 0.15 1.54 0.10
 26.10.12 18:00 ---- 0.11 0.17 1.55 0.10
 -------- 19:00 ---- 0.09 0.18 1.56 0.13
 -------- 20:00 ---- 0.08 0.18 1.55 0.14
 -------- 21:00 ---- 0.11 0.18 1.53 0.15
 -------- 22:00 ---- 0.11 0.17 1.50 0.14
 26.10.12 23:00 ---- 0.09 0.17 1.50 0.15
 -------- 00:00 ---- 0.18 0.14 1.51 0.09
 -------- 01:00 ---- 0.17 0.15 1.51 0.08
 -------- 02:00 ---- 0.23 0.14 1.49 0.07
 -------- 03:00 ---- 0.30 0.11 1.47 0.05
 27.10.12 04:00 ---- 0.28 0.11 1.45 0.05
 -------- 05:00 ---- 0.19 0.14 1.45 0.06
 -------- 06:00 ---- 0.15 0.15 1.47 0.07
 -------- 07:00 ---- 0.12 0.16 1.51 0.08
 -------- 08:00 ---- 0.12 0.15 1.51 0.10
 27.10.12 09:00 ---- 0.18 0.13 1.49 0.09
 -------- 10:00 ---- 0.18 0.13 1.49 0.09
 -------- 11:00 ---- 0.20 0.13 1.49 0.09
