 Date Time CO OZ NO2 NO
 28.12.12 12:00 0.22 ---- 0.15 0.12
 -------- 13:00 0.25 ---- 0.16 0.15
 -------- 14:00 0.26 ---- 0.16 0.15
 -------- 15:00 0.25 ---- 0.16 0.14
 -------- 16:00 0.21 ---- 0.14 0.09
 28.12.12 17:00 0.20 ---- 0.14 0.11
 -------- 18:00 0.24 ---- 0.14 0.09
 -------- 19:00 0.18 ---- 0.12 0.07
 -------- 20:00 0.22 ---- 0.14 0.11
 -------- 21:00 0.19 ---- 0.12 0.09
 28.12.12 22:00 0.14 ---- 0.10 0.05
 -------- 23:00 0.12 ---- 0.10 0.04
 -------- 00:00 0.12 ---- 0.10 0.04
 -------- 01:00 0.11 ---- 0.08 0.03
 -------- 02:00 0.09 ---- 0.09 0.03
 29.12.12 03:00 0.10 ---- 0.12 0.05
 -------- 04:00 0.09 ---- 0.09 0.03
 -------- 05:00 0.09 ---- 0.08 0.03
 -------- 06:00 0.11 ---- 0.10 0.05
 -------- 07:00 0.13 ---- 0.14 0.07
 29.12.12 08:00 0.13 ---- 0.11 0.06
 -------- 09:00 0.14 ---- 0.13 0.07
 -------- 10:00 0.11 ---- 0.14 0.07
 -------- 11:00 0.12 ---- 0.15 0.09
 -------- 12:00 0.13 3.93 0.12 0.06
 29.12.12 13:00 0.14 0.06 0.10 0.05
 -------- 14:00 0.12 0.07 0.07 0.03
 -------- 15:00 0.10 0.07 0.05 0.02
 -------- 16:00 0.10 0.06 0.06 0.02
 -------- 17:00 0.11 0.06 0.08 0.03
 29.12.12 18:00 0.11 0.06 0.06 0.02
 -------- 19:00 0.12 0.06 0.08 0.02
 -------- 20:00 0.12 0.06 0.08 0.02
 -------- 21:00 0.12 0.06 0.07 0.02
 -------- 22:00 0.11 0.06 0.08 0.02
 29.12.12 23:00 0.12 0.06 0.09 0.03
 -------- 00:00 0.11 0.06 0.05 0.02
 -------- 01:00 0.11 0.06 0.06 0.02
 -------- 02:00 0.12 0.06 0.07 0.02
 -------- 03:00 0.10 0.06 0.05 0.02
 30.12.12 04:00 0.10 0.06 0.06 0.02
 -------- 05:00 0.10 0.06 0.04 0.01
 -------- 06:00 0.11 0.06 0.06 0.02
 -------- 07:00 0.11 0.06 0.06 0.02
 -------- 08:00 0.11 0.06 0.07 0.03
 30.12.12 09:00 0.12 0.06 0.08 0.03
 -------- 10:00 0.14 0.06 0.09 0.03
 -------- 11:00 0.14 0.06 0.07 0.02
