 Date Time CO OZ NO2 NO
 05.02.13 00:00 0.10 0.17 0.15 0.02
 -------- 01:00 0.09 0.20 0.13 0.02
 -------- 02:00 0.08 0.22 0.13 0.02
 -------- 03:00 0.08 0.26 0.13 0.01
 -------- 04:00 0.08 0.27 0.13 0.02
 05.02.13 05:00 0.09 0.24 0.15 0.02
 -------- 06:00 0.11 0.20 0.16 0.03
 -------- 07:00 0.11 0.12 0.22 0.04
 -------- 08:00 0.14 0.18 0.19 0.04
 -------- 09:00 0.18 0.11 0.24 0.05
 05.02.13 10:00 0.23 0.07 0.28 0.15
 -------- 11:00 0.23 0.07 0.29 0.16
 -------- 12:00 0.25 0.09 0.29 0.17
 -------- 13:00 0.24 0.10 0.27 0.17
 -------- 14:00 0.26 0.10 0.27 0.18
 05.02.13 15:00 0.28 0.09 0.27 0.20
 -------- 16:00 0.27 0.07 0.28 0.20
 -------- 17:00 0.27 0.07 0.27 0.15
 -------- 18:00 0.22 0.08 0.26 0.10
 -------- 19:00 0.23 0.07 0.27 0.12
 05.02.13 20:00 0.23 0.06 0.26 0.12
 -------- 21:00 0.21 0.06 0.27 0.09
 -------- 22:00 0.17 0.09 0.25 0.08
 -------- 23:00 0.17 0.08 0.25 0.09
 -------- 00:00 0.15 0.08 0.25 0.11
 06.02.13 01:00 0.13 0.10 0.22 0.07
 -------- 02:00 0.09 0.13 0.21 0.05
 -------- 03:00 0.09 0.14 0.20 0.05
 -------- 04:00 0.08 0.18 0.21 0.06
 -------- 05:00 0.10 0.14 0.22 0.06
 06.02.13 06:00 0.13 0.11 0.23 0.09
 -------- 07:00 0.17 0.09 0.26 0.14
 -------- 08:00 0.23 0.08 0.27 0.14
 -------- 09:00 0.19 0.11 0.25 0.10
 -------- 10:00 0.18 0.11 0.25 0.12
 06.02.13 11:00 0.17 0.13 0.24 0.11
 -------- 12:00 0.21 0.13 0.25 0.13
 -------- 13:00 0.23 0.10 0.30 0.17
 -------- 14:00 0.26 0.08 0.29 0.17
 -------- 15:00 0.21 0.12 0.27 0.12
 06.02.13 16:00 0.25 0.08 0.29 0.17
 -------- 17:00 0.25 0.08 0.29 0.14
 -------- 18:00 0.21 0.07 0.28 0.11
 -------- 19:00 0.19 0.09 0.25 0.08
 -------- 20:00 0.18 0.09 0.23 0.07
 06.02.13 21:00 0.17 0.08 0.24 0.07
 -------- 22:00 0.19 0.08 0.24 0.10
 -------- 23:00 0.18 0.09 0.23 0.08
