 Date Time OZ NO2 CHX NO
 04.10.12 12:00 0.05 0.49 1.75 0.46
 -------- 07:00 0.04 0.51 1.69 0.56
 -------- 08:00 0.04 0.50 1.77 0.56
 -------- 09:00 0.04 0.51 1.84 0.60
 -------- 10:00 0.05 0.50 1.84 0.54
 05.10.12 11:00 0.05 0.51 1.84 0.60
 -------- 12:00 0.05 0.49 1.82 0.50
 -------- 13:00 0.05 0.48 1.76 0.49
 -------- 14:00 0.05 0.50 1.76 0.48
 -------- 15:00 0.06 0.51 1.74 0.47
 05.10.12 16:00 0.06 0.52 1.74 0.44
 -------- 17:00 0.11 0.52 1.70 0.39
 -------- 18:00 0.11 0.49 1.66 0.31
 -------- 19:00 0.15 0.46 1.64 0.25
 -------- 20:00 0.07 0.45 1.62 0.28
 05.10.12 21:00 0.08 0.44 1.60 0.28
 -------- 22:00 0.05 0.45 1.60 0.33
 -------- 23:00 0.05 0.45 1.61 0.35
 -------- 00:00 0.06 0.45 1.63 0.36
 -------- 01:00 0.06 0.45 1.63 0.38
 06.10.12 02:00 0.15 0.41 1.61 0.29
 -------- 03:00 0.15 0.41 1.56 0.86
 -------- 04:00 0.16 0.41 1.53 0.25
 -------- 05:00 0.18 0.39 1.52 0.24
 -------- 06:00 0.15 0.38 1.51 0.23
 06.10.12 07:00 0.08 0.40 1.54 0.28
 -------- 08:00 0.05 0.41 1.57 0.40
 -------- 09:00 0.06 0.41 1.59 0.39
 -------- 10:00 0.06 0.40 1.60 0.38
 -------- 11:00 0.06 0.39 1.62 0.33
