 Date Time CO OZ NO2 NO
 01.01.13 00:00 0.22 0.05 0.13 0.12
 -------- 01:00 0.20 0.06 0.12 0.06
 -------- 02:00 0.21 0.06 0.12 0.07
 -------- 03:00 0.19 0.05 0.11 0.04
 -------- 04:00 0.21 0.06 0.11 0.07
 01.01.13 05:00 0.19 0.05 0.11 0.03
 -------- 06:00 0.17 0.06 0.09 0.03
 -------- 07:00 0.15 0.06 0.09 0.02
 -------- 08:00 0.14 0.06 0.08 0.02
 -------- 09:00 0.15 0.05 0.10 0.04
 01.01.13 10:00 0.15 0.05 0.13 0.07
 -------- 11:00 0.17 0.06 0.14 0.10
 -------- 12:00 0.15 0.06 0.13 0.07
 -------- 13:00 0.14 0.05 0.11 0.05
 -------- 14:00 0.13 0.06 0.09 0.04
 01.01.13 15:00 0.13 0.05 0.10 0.06
 -------- 16:00 0.14 0.05 0.10 0.04
 -------- 17:00 0.14 0.05 0.09 0.04
 -------- 18:00 0.16 0.05 0.11 0.04
 -------- 19:00 0.16 0.05 0.11 0.04
 01.01.13 20:00 0.17 0.05 0.11 0.06
 -------- 21:00 0.15 0.05 0.09 0.04
 -------- 22:00 0.15 0.05 0.09 0.04
 -------- 23:00 0.14 0.05 0.08 0.03
 -------- 00:00 0.14 0.05 0.09 0.03
 02.01.13 01:00 0.15 0.05 0.10 0.04
 -------- 02:00 0.17 0.05 0.11 0.08
 -------- 03:00 0.16 0.05 0.11 0.06
 -------- 04:00 0.14 0.05 0.06 0.03
 -------- 05:00 0.12 0.05 0.07 0.03
 02.01.13 06:00 0.12 0.05 0.06 0.03
 -------- 07:00 0.12 0.05 0.07 0.03
 -------- 08:00 0.12 0.05 0.07 0.03
 -------- 09:00 0.12 0.05 0.08 0.04
 -------- 10:00 0.12 0.05 0.09 0.03
 02.01.13 11:00 0.14 0.05 0.11 0.06
 -------- 12:00 0.15 0.05 0.08 0.04
 -------- 13:00 0.14 0.04 0.08 0.04
 -------- 14:00 0.16 0.05 0.11 0.05
 -------- 15:00 0.19 0.05 0.12 0.06
 02.01.13 16:00 0.19 0.05 0.14 0.07
 -------- 17:00 0.19 0.05 0.15 0.08
 -------- 18:00 0.21 0.05 0.15 0.08
 -------- 19:00 0.21 0.05 0.16 0.08
 -------- 20:00 0.21 0.04 0.13 0.06
 02.01.13 21:00 0.19 0.05 0.14 0.06
 -------- 22:00 0.16 0.05 0.15 0.09
 -------- 23:00 0.16 0.05 0.16 0.08
