 Date Time CO OZ NO2 NO
 26.01.13 00:00 0.12 0.07 0.23 0.03
 -------- 01:00 0.14 0.08 0.23 0.03
 -------- 02:00 0.13 0.07 0.23 0.03
 -------- 03:00 0.14 0.07 0.23 0.05
 -------- 04:00 0.12 0.10 0.20 0.02
 26.01.13 05:00 0.11 0.11 0.20 0.02
 -------- 06:00 0.10 0.16 0.17 0.01
 -------- 07:00 0.11 0.17 0.17 0.02
 -------- 08:00 0.13 0.09 0.21 0.02
 -------- 09:00 0.17 0.06 0.25 0.08
 26.01.13 10:00 0.19 0.07 0.25 0.11
 -------- 11:00 0.19 0.08 0.25 0.13
 -------- 12:00 0.22 0.08 0.27 0.15
 -------- 13:00 0.20 0.11 0.25 0.11
 -------- 14:00 0.15 0.13 0.22 0.06
 26.01.13 15:00 0.24 0.09 0.26 0.17
 -------- 16:00 0.28 0.07 0.29 0.21
 -------- 17:00 0.23 0.06 0.28 0.14
 -------- 18:00 0.21 0.06 0.27 0.10
 -------- 19:00 0.20 0.06 0.28 0.10
 26.01.13 20:00 0.17 0.08 0.25 0.07
 -------- 21:00 0.16 0.09 0.24 0.05
 -------- 22:00 0.25 0.06 0.29 0.22
 -------- 23:00 0.23 0.06 0.28 0.19
 -------- 00:00 0.23 0.06 0.28 0.19
 27.01.13 01:00 0.17 0.05 0.27 0.13
 -------- 02:00 0.17 0.06 0.27 0.12
 -------- 03:00 0.17 0.05 0.27 0.14
 -------- 04:00 0.13 0.06 0.27 0.09
 -------- 05:00 0.09 0.14 0.22 0.03
 27.01.13 06:00 0.09 0.12 0.24 0.05
 -------- 07:00 0.10 0.11 0.25 0.04
 -------- 08:00 0.11 0.12 0.23 0.04
 -------- 09:00 0.18 0.06 0.26 0.13
 -------- 10:00 0.27 0.06 0.28 0.24
 27.01.13 11:00 0.35 0.06 0.31 0.34
 -------- 12:00 0.29 0.07 0.31 0.24
 -------- 13:00 0.17 0.09 0.26 0.12
 -------- 14:00 0.18 0.11 0.25 0.11
 -------- 15:00 0.22 0.10 0.27 0.16
 27.01.13 16:00 0.22 0.09 0.28 0.17
 -------- 17:00 0.23 0.07 0.30 0.18
 -------- 18:00 0.31 0.06 0.30 0.25
 -------- 19:00 0.34 0.06 0.32 0.29
 -------- 20:00 0.30 0.06 0.30 0.23
 27.01.13 21:00 0.32 0.06 0.30 0.26
 -------- 22:00 0.32 0.05 0.29 0.24
 -------- 23:00 0.27 0.06 0.30 0.21
