 Date Time CO NO2 CHX NO
 02.12.12 12:00 0.21 0.09 1.60 0.12
 -------- 13:00 0.19 0.08 1.61 0.08
 -------- 14:00 0.21 0.09 1.58 0.09
 -------- 15:00 0.20 0.08 1.58 0.08
 -------- 16:00 0.21 0.09 1.58 0.11
 02.12.12 17:00 0.21 0.10 1.57 0.10
 -------- 18:00 0.21 0.10 1.57 0.08
 -------- 19:00 0.22 0.11 1.60 0.10
 -------- 20:00 0.20 0.11 1.59 0.10
 -------- 21:00 0.20 0.11 1.59 0.08
 02.12.12 22:00 0.19 0.11 1.64 0.09
 -------- 23:00 0.16 0.11 1.59 0.06
 -------- 00:00 0.15 0.11 1.56 0.05
 -------- 01:00 0.14 0.11 1.53 0.07
 -------- 02:00 0.14 0.12 1.54 0.08
 03.12.12 03:00 0.14 0.12 1.56 0.05
 -------- 04:00 0.14 0.11 1.59 0.05
 -------- 05:00 0.14 0.11 1.55 0.07
 -------- 06:00 0.16 0.13 1.60 0.14
 -------- 07:00 0.20 0.13 1.62 0.19
 03.12.12 08:00 0.22 0.14 1.66 0.20
 -------- 09:00 0.23 0.13 1.66 0.20
 -------- 10:00 0.23 0.14 1.65 0.20
 -------- 11:00 0.23 0.15 1.67 0.27
 -------- 12:00 0.24 0.14 1.66 0.26
 03.12.12 13:00 0.27 0.14 1.65 0.27
 -------- 14:00 0.25 0.15 1.62 0.23
 -------- 15:00 0.22 0.14 1.60 0.17
 -------- 16:00 0.21 0.14 1.62 0.18
 -------- 17:00 0.21 0.14 1.63 0.18
 03.12.12 18:00 0.21 0.13 1.64 0.13
 -------- 19:00 0.20 0.14 1.63 0.14
 -------- 20:00 0.21 0.13 1.60 0.13
 -------- 21:00 0.19 0.12 1.73 0.12
 -------- 22:00 0.19 0.10 1.73 0.10
 03.12.12 23:00 0.17 0.10 1.79 0.09
 -------- 00:00 0.14 0.09 1.76 0.07
 -------- 01:00 0.13 0.10 1.62 0.07
 -------- 02:00 0.12 0.07 1.60 0.05
 -------- 03:00 0.12 0.06 1.54 0.04
 04.12.12 04:00 0.12 0.06 1.52 0.03
 -------- 05:00 0.12 0.08 1.65 0.05
 -------- 06:00 0.13 0.08 1.72 0.06
 -------- 07:00 0.15 0.10 1.66 0.11
 -------- 08:00 0.17 0.10 1.65 0.12
 04.12.12 09:00 0.17 0.10 1.66 0.12
 -------- 10:00 0.22 0.10 1.67 0.16
 -------- 11:00 0.25 0.12 1.71 0.26
