 Date Time CO OZ NO2 NO
 29.01.13 00:00 0.21 0.05 0.28 0.18
 -------- 01:00 0.19 0.05 0.29 0.15
 -------- 02:00 0.15 0.05 0.27 0.11
 -------- 03:00 0.13 0.07 0.26 0.08
 -------- 04:00 0.13 0.05 0.27 0.12
 29.01.13 05:00 0.15 0.05 0.27 0.12
 -------- 06:00 0.19 0.05 0.28 0.18
 -------- 07:00 0.25 0.05 0.29 0.22
 -------- 08:00 0.27 0.05 0.29 0.20
 -------- 09:00 0.25 0.05 0.27 0.16
 29.01.13 10:00 0.26 0.06 0.27 0.17
 -------- 11:00 0.27 0.06 0.29 0.21
 -------- 12:00 0.27 0.06 0.30 0.26
 -------- 13:00 0.25 0.07 0.30 0.20
 -------- 14:00 0.24 0.07 0.29 0.19
 29.01.13 15:00 0.28 0.06 0.29 0.25
 -------- 16:00 0.28 0.07 0.29 0.22
 -------- 17:00 0.24 0.06 0.28 0.17
 -------- 18:00 0.21 0.06 0.29 0.15
 -------- 19:00 0.23 0.05 0.29 0.16
 29.01.13 20:00 0.23 0.05 0.28 0.17
 -------- 21:00 0.24 0.05 0.28 0.20
 -------- 22:00 0.23 0.05 0.28 0.18
 -------- 23:00 0.19 0.05 0.28 0.16
 -------- 00:00 0.19 0.05 0.27 0.17
 30.01.13 01:00 0.16 0.05 0.27 0.14
 -------- 02:00 0.13 0.06 0.25 0.09
 -------- 03:00 0.12 0.06 0.26 0.11
 -------- 04:00 0.11 0.06 0.26 0.11
 -------- 05:00 0.12 0.05 0.26 0.11
 30.01.13 06:00 0.15 0.05 0.27 0.15
 -------- 07:00 0.17 0.06 0.26 0.15
 -------- 08:00 0.27 0.06 0.28 0.16
 -------- 09:00 0.28 0.05 0.27 0.17
 -------- 10:00 0.27 0.06 0.26 0.21
 30.01.13 11:00 0.28 0.06 0.26 0.20
 -------- 12:00 0.32 0.06 0.27 0.24
 -------- 13:00 0.39 0.06 0.28 0.32
 -------- 14:00 0.33 0.06 0.28 0.24
 -------- 15:00 0.31 0.06 0.29 0.23
 30.01.13 16:00 0.38 0.06 0.29 0.25
 -------- 17:00 0.31 0.06 0.29 0.22
 -------- 18:00 0.33 0.05 0.28 0.20
 -------- 19:00 0.25 0.06 0.27 0.11
 -------- 20:00 0.24 0.07 0.26 0.10
 30.01.13 21:00 0.23 0.05 0.27 0.13
 -------- 22:00 0.21 0.07 0.27 0.10
 -------- 23:00 0.19 0.07 0.26 0.09
