 Date Time CO OZ NO2 CHX NO
 16.09.12 14:00 0.17 0.07 0.11 1.50 0.11
 -------- 15:00 0.19 0.06 0.12 1.50 0.11
 -------- 16:00 0.20 0.08 0.14 1.51 0.10
 -------- 17:00 0.18 0.12 0.15 1.51 0.07
 -------- 18:00 0.17 0.13 0.13 1.49 0.05
 16.09.12 19:00 0.17 0.12 0.14 1.48 0.07
 -------- 20:00 0.19 0.06 0.18 1.48 0.11
 -------- 21:00 0.21 0.06 0.17 1.49 0.10
 -------- 22:00 0.22 0.04 0.21 1.52 0.19
 -------- 23:00 0.26 0.04 0.19 1.55 0.23
 17.09.12 00:00 0.26 0.03 0.21 1.57 0.32
 -------- 01:00 0.24 0.03 0.18 1.60 0.17
 -------- 02:00 0.21 0.03 0.16 1.58 0.14
 -------- 03:00 0.20 0.04 0.17 1.57 0.14
 -------- 04:00 0.16 0.03 0.13 1.58 0.08
 17.09.12 05:00 0.14 0.03 0.13 1.58 0.06
 -------- 06:00 0.13 0.03 0.13 1.57 0.11
 -------- 07:00 0.17 0.04 0.13 1.58 0.19
 -------- 08:00 0.23 0.04 0.16 1.60 0.24
 -------- 09:00 0.21 0.04 0.20 1.62 0.16
 17.09.12 10:00 0.23 0.05 0.22 1.66 0.16
 -------- 11:00 0.23 0.06 0.23 1.64 0.21
 -------- 12:00 0.19 0.11 0.20 1.61 0.10
 -------- 13:00 0.17 0.17 0.15 1.56 0.09
 -------- 14:00 0.14 0.19 0.14 1.54 0.08
 17.09.12 15:00 0.14 0.17 0.16 1.51 0.07
 -------- 16:00 0.13 0.24 0.13 1.50 0.04
 -------- 17:00 0.13 0.25 0.12 1.48 0.03
 -------- 18:00 0.12 0.23 0.12 1.47 0.02
 -------- 19:00 0.13 0.15 0.15 1.47 0.01
 17.09.12 20:00 0.18 0.06 0.20 1.50 0.13
 -------- 21:00 0.39 0.05 0.27 1.60 0.66
 -------- 22:00 0.55 0.05 0.31 1.80 0.86
 -------- 23:00 0.70 0.05 0.30 1.97 1.04
 -------- 00:00 0.83 0.05 0.27 2.22 1.19
 18.09.12 01:00 0.81 0.04 0.22 2.36 1.00
 -------- 02:00 0.73 0.04 0.20 2.42 0.79
 -------- 03:00 0.66 0.04 0.20 2.42 0.70
 -------- 04:00 0.57 0.04 0.24 2.35 0.63
 -------- 05:00 0.48 0.04 0.22 2.26 0.51
 18.09.12 06:00 0.44 0.04 0.24 2.18 0.55
 -------- 07:00 0.35 0.04 0.24 2.10 0.29
 -------- 08:00 0.29 0.04 0.22 2.00 0.15
 -------- 09:00 0.29 0.04 0.23 1.90 0.17
 -------- 10:00 0.24 0.04 0.27 1.84 0.14
 18.09.12 11:00 0.31 0.04 0.33 1.86 0.37
 -------- 12:00 0.35 0.05 0.37 1.91 0.40
 -------- 13:00 0.29 0.10 0.25 1.84 0.19
