 Date Time CO OZ NO2 NO
 13.02.13 12:00 0.24 0.08 0.34 0.19
 -------- 13:00 0.25 0.08 0.35 0.25
 -------- 14:00 0.25 0.08 0.32 0.22
 -------- 15:00 0.25 0.10 0.28 0.17
 -------- 16:00 0.21 0.10 0.29 0.15
 13.02.13 17:00 0.26 0.08 0.32 0.16
 -------- 18:00 0.31 0.06 0.34 0.18
 -------- 19:00 0.31 0.06 0.34 0.18
 -------- 20:00 0.31 0.06 0.33 0.21
 -------- 21:00 0.29 0.06 0.33 0.19
 13.02.13 22:00 0.29 0.06 0.32 0.26
 -------- 23:00 0.26 0.06 0.31 0.21
 -------- 00:00 0.21 0.06 0.30 0.18
 -------- 01:00 0.19 0.06 0.29 0.16
 -------- 02:00 0.16 0.06 0.30 0.16
 14.02.13 03:00 0.14 0.06 0.28 0.09
 -------- 04:00 0.16 0.05 0.28 0.13
 -------- 05:00 0.16 0.05 0.26 0.11
 -------- 06:00 0.22 0.06 0.28 0.23
 -------- 07:00 0.27 0.05 0.28 0.30
 14.02.13 08:00 0.29 0.06 0.28 0.23
 -------- 09:00 0.42 0.06 0.29 0.30
 -------- 10:00 0.37 0.06 0.31 0.33
 -------- 11:00 0.36 0.06 0.31 0.33
 -------- 12:00 0.31 0.07 0.33 0.30
 14.02.13 13:00 0.30 0.07 0.31 0.28
 -------- 14:00 0.31 0.09 0.30 0.23
 -------- 15:00 0.25 0.09 0.30 0.16
 -------- 16:00 0.24 0.09 0.30 0.15
 -------- 17:00 0.24 0.08 0.31 0.15
 14.02.13 18:00 0.32 0.06 0.34 0.21
 -------- 19:00 0.30 0.06 0.32 0.20
 -------- 20:00 0.26 0.06 0.32 0.18
 -------- 21:00 0.27 0.06 0.32 0.18
 -------- 22:00 0.27 0.06 0.32 0.23
 14.02.13 23:00 0.25 0.06 0.30 0.24
 -------- 00:00 0.19 0.06 0.29 0.16
 -------- 01:00 0.15 0.06 0.28 0.12
 -------- 02:00 0.17 0.06 0.28 0.13
 -------- 03:00 0.15 0.05 0.28 0.12
 15.02.13 04:00 0.14 0.06 0.27 0.12
 -------- 05:00 0.16 0.05 0.29 0.17
 -------- 06:00 0.17 0.06 0.29 0.17
 -------- 07:00 0.21 0.06 0.29 0.17
 -------- 08:00 0.29 0.06 0.31 0.21
 15.02.13 09:00 0.35 0.06 0.31 0.26
 -------- 10:00 0.39 0.06 0.32 0.27
 -------- 11:00 0.34 0.06 0.31 0.24
