 Date Time CO OZ NO2 CHX NO
 08.12.12 12:00 0.27 ---- 0.12 1.83 0.20
 -------- 13:00 0.29 ---- 0.13 1.83 0.28
 -------- 14:00 0.25 ---- 0.12 1.80 0.21
 -------- 15:00 0.24 ---- 0.13 1.83 0.21
 -------- 16:00 0.25 ---- 0.13 1.80 0.22
 08.12.12 17:00 0.22 ---- 0.12 1.82 0.17
 -------- 18:00 0.21 ---- 0.11 1.77 0.17
 -------- 19:00 0.21 ---- 0.12 1.78 0.19
 -------- 20:00 0.22 ---- 0.12 1.81 0.21
 -------- 21:00 0.20 ---- 0.10 1.78 0.18
 08.12.12 22:00 0.23 ---- 0.12 1.82 0.22
 -------- 23:00 0.21 ---- 0.10 1.80 0.18
 -------- 00:00 0.26 ---- 0.12 1.88 0.30
 -------- 01:00 0.28 ---- 0.12 1.91 0.32
 -------- 02:00 0.29 ---- 0.13 1.93 0.35
 09.12.12 03:00 0.34 ---- 0.13 2.09 0.34
 -------- 04:00 0.32 ---- 0.12 2.02 0.37
 -------- 05:00 0.28 ---- 0.12 1.93 0.32
 -------- 06:00 0.20 ---- 0.11 1.82 0.19
 -------- 07:00 0.18 ---- 0.11 1.78 0.14
 09.12.12 08:00 0.19 ---- 0.11 1.80 0.19
 -------- 09:00 0.17 ---- 0.10 1.72 0.16
 -------- 10:00 0.17 ---- 0.10 1.69 0.11
 -------- 11:00 0.17 ---- 0.14 1.66 0.13
 -------- 12:00 0.18 ---- 0.14 1.62 0.13
 09.12.12 13:00 0.21 ---- 0.15 1.66 0.13
 -------- 14:00 0.17 ---- 0.14 1.64 0.11
 -------- 15:00 0.21 ---- 0.17 1.65 0.14
 -------- 16:00 0.22 ---- 0.19 1.70 0.21
 -------- 17:00 0.24 ---- 0.18 1.81 0.22
 09.12.12 18:00 0.27 ---- 0.18 1.73 0.26
 -------- 19:00 0.27 ---- 0.20 1.70 0.31
 -------- 20:00 0.21 ---- 0.18 1.66 0.20
 -------- 21:00 0.21 ---- 0.17 1.67 0.21
 -------- 22:00 0.27 ---- 0.17 1.64 0.24
 09.12.12 23:00 0.33 ---- 0.19 1.72 0.38
 -------- 00:00 0.33 ---- 0.19 1.80 0.37
 -------- 01:00 0.28 ---- 0.18 1.85 0.26
 -------- 02:00 0.29 ---- 0.19 1.84 0.30
 -------- 03:00 0.32 ---- 0.21 1.94 0.36
 10.12.12 04:00 0.29 ---- 0.20 1.91 0.33
 -------- 05:00 0.28 ---- 0.20 2.04 0.31
 -------- 06:00 0.29 ---- 0.18 2.39 0.26
 -------- 07:00 0.30 ---- 0.17 2.47 0.22
 -------- 08:00 0.33 ---- 0.15 1.79 0.18
 10.12.12 09:00 0.30 ---- 0.16 1.73 0.19
 -------- 10:00 0.23 ---- 0.14 1.65 0.17
 -------- 11:00 0.25 ---- 0.16 1.70 0.21
