 Date Time CO OZ NO2 NO
 16.04.13 00:00 ---- 0.06 0.45 0.19
 -------- 01:00 ---- 0.06 0.46 0.27
 -------- 02:00 ---- 0.06 0.45 0.25
 -------- 03:00 ---- 0.05 0.48 0.34
 -------- 04:00 ---- 0.06 0.48 0.50
 16.04.13 05:00 ---- 0.06 0.47 0.53
 -------- 06:00 ---- 0.09 0.39 0.14
 -------- 07:00 ---- 0.06 0.47 0.52
 -------- 08:00 ---- 0.06 0.49 0.46
 -------- 09:00 0.18 0.12 0.40 0.14
 16.04.13 10:00 0.17 0.23 0.34 0.06
 -------- 11:00 0.19 0.29 0.31 0.06
 -------- 12:00 0.16 0.39 0.25 0.04
 -------- 13:00 0.15 0.49 0.18 0.02
 -------- 14:00 0.16 0.49 0.19 0.02
 16.04.13 15:00 0.17 0.52 0.19 0.03
 -------- 16:00 0.16 0.62 0.15 0.02
 -------- 17:00 0.18 0.58 0.17 0.02
 -------- 18:00 0.18 0.59 0.15 0.02
 -------- 19:00 0.17 0.62 0.15 0.01
 16.04.13 20:00 0.19 0.52 0.18 0.01
 -------- 21:00 0.21 0.39 0.22 0.02
 -------- 22:00 0.03 0.19 0.31 0.03
 -------- 23:00 0.07 0.10 0.36 0.11
 -------- 00:00 0.07 0.07 0.37 0.11
 17.04.13 01:00 0.02 0.07 0.36 0.09
 -------- 02:00 ---- 0.07 0.36 0.09
 -------- 03:00 ---- 0.08 0.34 0.05
 -------- 04:00 ---- 0.10 0.31 0.03
 -------- 05:00 ---- 0.09 0.31 0.04
 17.04.13 06:00 ---- 0.09 0.29 0.03
 -------- 07:00 0.03 0.08 0.31 0.08
 -------- 08:00 0.05 0.08 0.36 0.10
 -------- 09:00 0.03 0.11 0.33 0.08
 -------- 10:00 ---- 0.16 0.30 0.07
 17.04.13 11:00 ---- 0.30 0.24 0.04
 -------- 12:00 ---- 0.34 0.23 0.04
 -------- 13:00 ---- 0.45 0.18 0.03
 -------- 14:00 ---- 0.46 0.18 0.03
 -------- 15:00 ---- 0.52 0.17 0.02
 17.04.13 16:00 0.02 0.56 0.18 0.02
 -------- 17:00 ---- 0.54 0.21 0.03
 -------- 18:00 ---- 0.54 0.20 0.02
 -------- 19:00 ---- 0.45 0.24 0.03
 -------- 20:00 0.02 0.39 0.26 0.04
 17.04.13 21:00 0.11 0.10 0.40 0.14
 -------- 22:00 0.19 0.06 0.43 0.22
 -------- 23:00 0.08 0.09 0.41 0.15
