 Date Time CO OZ NO2 NO
 05.01.13 12:00 0.33 0.05 0.17 0.22
 -------- 13:00 0.33 0.05 0.17 0.21
 -------- 14:00 0.27 0.05 0.15 0.10
 -------- 15:00 0.23 0.05 0.14 0.09
 -------- 16:00 0.19 0.05 0.12 0.06
 05.01.13 17:00 0.17 0.05 0.10 0.05
 -------- 18:00 0.19 0.05 0.11 0.08
 -------- 19:00 0.16 0.05 0.11 0.05
 -------- 20:00 0.16 0.05 0.11 0.04
 -------- 21:00 0.14 0.05 0.10 0.04
 05.01.13 22:00 0.13 0.05 0.10 0.04
 -------- 23:00 0.12 0.05 0.09 0.02
 -------- 00:00 0.11 0.05 0.08 0.02
 -------- 01:00 0.10 0.05 0.08 0.02
 -------- 02:00 0.10 0.05 0.09 0.03
 06.01.13 03:00 0.10 0.05 0.08 0.02
 -------- 04:00 0.10 0.05 0.08 0.02
 -------- 05:00 0.10 0.05 0.09 0.03
 -------- 06:00 0.10 0.05 0.09 0.03
 -------- 07:00 0.10 0.05 0.09 0.03
 06.01.13 08:00 0.10 0.05 0.09 0.04
 -------- 09:00 0.12 0.05 0.09 0.03
 -------- 10:00 0.13 0.05 0.09 0.05
 -------- 11:00 0.14 0.06 0.09 0.06
 -------- 12:00 0.15 0.05 0.10 0.07
 06.01.13 13:00 0.17 0.05 0.10 0.08
 -------- 14:00 0.17 0.05 0.10 0.09
 -------- 15:00 0.19 0.05 0.10 0.08
 -------- 16:00 0.17 0.06 0.10 0.06
 -------- 17:00 0.15 0.05 0.09 0.03
 06.01.13 18:00 0.14 0.04 0.09 0.03
 -------- 19:00 0.14 0.04 0.08 0.03
 -------- 20:00 0.14 0.04 0.09 0.03
 -------- 21:00 0.14 0.04 0.09 0.04
 -------- 22:00 0.14 ---- 0.09 0.03
 06.01.13 23:00 0.13 ---- 0.07 0.03
 -------- 00:00 0.12 ---- 0.06 0.03
 -------- 01:00 0.12 ---- 0.06 0.02
 -------- 02:00 0.11 ---- 0.06 0.02
 -------- 03:00 0.10 ---- 0.04 0.02
 07.01.13 04:00 0.10 ---- 0.04 0.01
 -------- 05:00 0.10 ---- 0.04 0.01
 -------- 06:00 0.10 ---- 0.05 0.02
 -------- 07:00 0.10 ---- 0.05 0.02
 -------- 08:00 0.10 ---- 0.05 0.02
 07.01.13 09:00 0.11 ---- 0.05 0.02
 -------- 10:00 0.13 ---- 0.06 0.02
 -------- 11:00 0.14 ---- 0.06 0.03
