 Date Time CO OZ NO2 NO
 23.01.13 12:00 0.25 0.07 0.28 0.17
 -------- 13:00 0.22 0.09 0.27 0.14
 -------- 14:00 0.19 0.10 0.24 0.10
 -------- 15:00 0.22 0.09 0.26 0.13
 -------- 16:00 0.17 0.09 0.25 0.08
 23.01.13 17:00 0.17 0.06 0.26 0.08
 -------- 18:00 0.17 0.05 0.27 0.08
 -------- 19:00 0.19 0.05 0.28 0.10
 -------- 20:00 0.23 0.05 0.28 0.14
 -------- 21:00 0.21 0.06 0.27 0.13
 23.01.13 22:00 0.13 0.16 0.19 0.02
 -------- 23:00 0.16 0.09 0.24 0.08
 -------- 00:00 0.23 0.06 0.31 0.27
 -------- 01:00 0.11 0.16 0.20 0.05
 -------- 02:00 0.16 0.09 0.26 0.18
 24.01.13 03:00 0.23 0.05 0.30 0.35
 -------- 04:00 0.27 0.05 0.30 0.38
 -------- 05:00 0.36 0.06 0.34 0.59
 -------- 06:00 0.45 0.06 0.38 0.74
 -------- 07:00 0.48 0.06 0.38 0.63
 24.01.13 08:00 0.47 0.06 0.35 0.45
 -------- 09:00 0.36 0.06 0.32 0.29
 -------- 10:00 0.29 0.06 0.31 0.26
 -------- 11:00 0.37 0.06 0.34 0.42
 -------- 12:00 0.41 0.06 0.36 0.46
 24.01.13 13:00 0.34 0.06 0.33 0.32
 -------- 14:00 0.37 0.06 0.33 0.35
 -------- 15:00 0.18 0.08 0.27 0.11
 -------- 16:00 0.13 0.10 0.26 0.08
 -------- 17:00 0.09 0.10 0.23 0.03
 24.01.13 18:00 0.09 0.16 0.20 0.03
 -------- 19:00 0.07 0.19 0.18 0.02
 -------- 20:00 0.09 0.16 0.20 0.03
 -------- 21:00 0.11 0.15 0.20 0.03
 -------- 22:00 0.13 0.16 0.20 0.03
 24.01.13 23:00 0.10 0.23 0.16 0.02
 -------- 00:00 0.10 0.24 0.15 0.01
 -------- 01:00 0.11 0.17 0.19 0.04
 -------- 02:00 0.11 0.14 0.21 0.04
 -------- 03:00 0.10 0.17 0.19 0.02
 25.01.13 04:00 0.10 0.18 0.18 0.02
 -------- 05:00 0.10 0.20 0.17 0.02
 -------- 06:00 0.10 0.16 0.19 0.02
 -------- 07:00 0.13 0.11 0.22 0.03
 -------- 08:00 0.17 0.11 0.23 0.06
 25.01.13 09:00 0.17 0.13 0.21 0.06
 -------- 10:00 0.15 0.13 0.22 0.07
 -------- 11:00 0.14 0.16 0.19 0.06
