 Date Time CO OZ NO2 NO
 04.02.13 12:00 0.53 0.05 0.29 0.46
 -------- 13:00 0.43 0.05 0.27 0.34
 -------- 14:00 0.26 0.05 0.23 0.19
 -------- 15:00 0.12 0.06 0.19 0.08
 -------- 16:00 0.09 0.07 0.17 0.05
 04.02.13 17:00 0.09 0.07 0.18 0.05
 -------- 18:00 0.09 0.08 0.18 0.04
 -------- 19:00 0.08 0.09 0.17 0.03
 -------- 20:00 0.07 0.11 0.18 0.03
 -------- 21:00 0.09 0.14 0.18 0.03
 04.02.13 22:00 0.11 0.13 0.18 0.03
 -------- 23:00 0.10 0.14 0.16 0.02
 -------- 00:00 0.10 0.16 0.15 0.02
 -------- 01:00 0.09 0.20 0.13 0.02
 -------- 02:00 0.08 0.22 0.13 0.02
 05.02.13 03:00 0.08 0.26 0.13 0.01
 -------- 04:00 0.08 0.27 0.13 0.02
 -------- 05:00 0.09 0.24 0.15 0.02
 -------- 06:00 0.11 0.20 0.16 0.03
 -------- 07:00 0.11 0.12 0.22 0.04
 05.02.13 08:00 0.14 0.18 0.19 0.04
 -------- 09:00 0.18 0.11 0.24 0.05
 -------- 10:00 0.23 0.07 0.28 0.15
 -------- 11:00 0.23 0.07 0.29 0.16
 -------- 12:00 0.25 0.09 0.29 0.17
 05.02.13 13:00 0.24 0.10 0.27 0.17
 -------- 14:00 0.26 0.10 0.27 0.18
 -------- 15:00 0.28 0.09 0.27 0.20
 -------- 16:00 0.27 0.07 0.28 0.20
 -------- 17:00 0.27 0.07 0.27 0.15
 05.02.13 18:00 0.22 0.08 0.26 0.10
 -------- 19:00 0.23 0.07 0.27 0.12
 -------- 20:00 0.23 0.06 0.26 0.12
 -------- 21:00 0.21 0.06 0.27 0.09
 -------- 22:00 0.17 0.09 0.25 0.08
 05.02.13 23:00 0.17 0.08 0.25 0.09
 -------- 00:00 0.15 0.08 0.25 0.11
 -------- 01:00 0.13 0.10 0.22 0.07
 -------- 02:00 0.09 0.13 0.21 0.05
 -------- 03:00 0.09 0.14 0.20 0.05
 06.02.13 04:00 0.08 0.18 0.21 0.06
 -------- 05:00 0.10 0.14 0.22 0.06
 -------- 06:00 0.13 0.11 0.23 0.09
 -------- 07:00 0.17 0.09 0.26 0.14
 -------- 08:00 0.23 0.08 0.27 0.14
 06.02.13 09:00 0.19 0.11 0.25 0.10
 -------- 10:00 0.18 0.11 0.25 0.12
 -------- 11:00 0.17 0.13 0.24 0.11
