 Date Time OZ NO2 CHX NO
 01.10.12 23:00 0.04 0.20 1.56 0.15
 -------- 00:00 0.04 0.22 1.55 0.19
 -------- 01:00 0.04 0.18 1.55 0.18
 -------- 02:00 0.04 0.18 1.56 0.20
 -------- 03:00 0.04 0.17 1.57 0.13
 02.10.12 04:00 0.04 0.15 1.60 0.06
 -------- 05:00 0.04 0.14 1.57 0.06
 -------- 06:00 0.04 0.14 1.58 0.07
 -------- 07:00 0.04 0.14 1.60 0.09
 -------- 08:00 0.04 0.16 1.63 0.24
 02.10.12 09:00 0.04 0.20 1.95 0.40
 -------- 10:00 0.05 0.31 2.17 0.60
 -------- 11:00 0.06 0.33 1.98 0.29
 -------- 12:00 0.10 0.46 1.70 0.30
 -------- 13:00 0.10 0.60 1.71 0.40
 02.10.12 14:00 0.12 0.66 1.68 0.40
 -------- 15:00 0.14 0.68 1.62 0.39
 -------- 16:00 0.16 0.66 1.59 0.36
 -------- 17:00 0.09 0.66 1.59 0.41
 -------- 18:00 0.07 0.65 1.59 0.42
 02.10.12 19:00 0.08 0.65 1.60 0.41
 -------- 20:00 0.05 0.68 1.64 0.50
 -------- 21:00 0.04 0.67 1.67 0.52
 -------- 22:00 0.04 0.66 1.73 0.54
 -------- 23:00 0.04 0.66 1.72 0.52
 03.10.12 00:00 0.04 0.64 1.68 0.47
 -------- 01:00 0.04 0.62 1.66 0.49
 -------- 02:00 0.04 0.60 1.65 0.43
 -------- 03:00 0.04 0.60 1.64 0.42
 -------- 04:00 0.06 0.58 1.63 0.38
 03.10.12 05:00 0.07 0.56 1.61 0.36
 -------- 06:00 0.06 0.53 1.61 0.35
 -------- 07:00 0.05 0.53 1.63 0.41
 -------- 08:00 0.05 0.54 1.63 0.42
 -------- 09:00 0.04 0.54 1.64 0.41
 03.10.12 10:00 0.04 0.54 1.66 0.47
