 Date Time CO NO2 CHX NO
 26.11.12 00:00 0.18 0.12 1.58 0.13
 -------- 01:00 0.15 0.11 1.55 0.09
 -------- 02:00 0.13 0.10 1.54 0.08
 -------- 03:00 0.12 0.10 1.53 0.09
 -------- 04:00 0.11 0.09 1.53 0.07
 26.11.12 05:00 0.12 0.10 1.54 0.11
 -------- 06:00 0.14 0.10 1.56 0.13
 -------- 07:00 0.17 0.11 1.59 0.18
 -------- 08:00 0.21 0.12 1.64 0.20
 -------- 09:00 0.23 0.12 1.68 0.20
 26.11.12 10:00 0.27 0.11 1.65 0.20
 -------- 11:00 0.24 0.10 1.64 0.24
 -------- 12:00 0.24 0.09 1.68 0.21
 -------- 13:00 0.26 0.10 1.69 0.27
 -------- 14:00 0.32 0.14 1.79 0.25
 26.11.12 15:00 0.30 0.12 1.82 0.30
 -------- 16:00 0.26 0.12 1.81 0.22
 -------- 17:00 0.21 0.09 1.76 0.16
 -------- 18:00 0.19 0.08 1.67 0.12
 -------- 19:00 0.18 0.07 1.63 0.09
 26.11.12 20:00 0.19 0.07 1.61 0.09
 -------- 21:00 0.19 0.07 1.60 0.10
 -------- 22:00 0.22 0.07 1.59 0.09
 -------- 23:00 0.21 0.06 1.58 0.09
 -------- 00:00 0.19 0.06 1.56 0.07
 27.11.12 01:00 0.18 0.07 1.56 0.08
 -------- 02:00 0.16 0.05 1.63 0.05
 -------- 03:00 0.17 0.06 1.81 0.05
 -------- 04:00 0.17 0.06 1.70 0.05
 -------- 05:00 0.18 0.06 1.68 0.05
 27.11.12 06:00 0.19 0.06 1.66 0.07
 -------- 07:00 0.21 0.10 1.60 0.11
 -------- 08:00 0.21 0.09 1.60 0.10
 -------- 09:00 0.21 0.08 1.61 0.11
 -------- 10:00 0.21 0.08 1.61 0.11
 27.11.12 11:00 0.19 0.08 1.60 0.11
 -------- 12:00 0.20 0.08 1.61 0.10
 -------- 13:00 0.13 0.09 1.62 0.09
 -------- 14:00 0.07 0.08 1.64 0.07
 -------- 15:00 0.09 0.08 1.66 0.08
 27.11.12 16:00 0.12 0.08 1.65 0.06
 -------- 17:00 0.17 0.08 1.66 0.07
 -------- 18:00 0.19 0.08 1.66 0.06
 -------- 19:00 0.18 0.08 1.65 0.06
 -------- 20:00 0.19 0.09 1.65 0.07
 27.11.12 21:00 0.19 0.09 1.64 0.08
 -------- 22:00 0.23 0.09 1.62 0.07
 -------- 23:00 0.22 0.09 1.60 0.07
