 Date Time CO OZ NO2 CHX NO
 15.12.12 00:00 0.12 ---- 0.19 1.56 0.16
 -------- 01:00 0.10 ---- 0.19 1.55 0.17
 -------- 02:00 0.10 ---- 0.19 1.54 0.15
 -------- 03:00 0.08 ---- 0.16 1.50 0.09
 -------- 04:00 0.08 ---- 0.17 1.51 0.09
 15.12.12 05:00 0.07 ---- 0.17 1.53 0.11
 -------- 06:00 0.09 ---- 0.17 1.55 0.11
 -------- 07:00 0.11 ---- 0.19 1.60 0.19
 -------- 08:00 0.17 ---- 0.19 1.63 0.23
 -------- 09:00 0.15 ---- 0.18 1.61 0.21
 15.12.12 10:00 0.25 ---- 0.19 1.65 0.23
 -------- 11:00 0.27 ---- 0.19 1.68 0.28
 -------- 12:00 0.27 ---- 0.19 1.68 0.22
 -------- 13:00 0.30 ---- 0.19 1.73 0.20
 -------- 14:00 0.29 ---- 0.19 1.72 0.19
 15.12.12 15:00 0.25 ---- 0.19 1.68 0.19
 -------- 16:00 0.26 ---- 0.20 1.64 0.16
 -------- 17:00 0.25 ---- 0.21 1.67 0.18
 -------- 18:00 0.23 ---- 0.20 1.66 0.18
 -------- 19:00 0.26 ---- 0.20 1.68 0.22
 15.12.12 20:00 0.21 ---- 0.18 1.63 0.19
 -------- 21:00 0.14 ---- 0.15 1.55 0.11
 -------- 22:00 0.09 ---- 0.15 1.55 0.10
 -------- 23:00 0.06 ---- 0.14 1.54 0.08
 -------- 00:00 0.06 ---- 0.13 1.54 0.08
 16.12.12 01:00 0.06 ---- 0.13 1.54 0.07
 -------- 02:00 0.04 ---- 0.13 1.54 0.06
 -------- 03:00 0.03 ---- 0.11 1.55 0.05
 -------- 04:00 0.02 ---- 0.12 1.54 0.06
 -------- 05:00 0.05 ---- 0.14 1.64 0.14
 16.12.12 06:00 0.08 ---- 0.15 1.64 0.14
 -------- 07:00 0.11 ---- 0.16 1.65 0.17
 -------- 08:00 0.09 ---- 0.15 1.63 0.13
 -------- 09:00 0.07 ---- 0.14 1.59 0.11
 -------- 10:00 0.12 ---- 0.13 1.58 0.11
 16.12.12 11:00 0.13 ---- 0.14 1.60 0.13
 -------- 12:00 0.15 ---- 0.13 1.60 0.13
 -------- 13:00 0.15 ---- 0.14 1.61 0.13
 -------- 14:00 0.17 ---- 0.15 1.61 0.14
 -------- 15:00 0.18 ---- 0.16 1.62 0.13
 16.12.12 16:00 0.25 ---- 0.19 1.69 0.21
 -------- 17:00 0.26 ---- 0.20 1.52 0.21
 -------- 18:00 0.29 ---- 0.21 1.70 0.22
 -------- 19:00 0.29 ---- 0.21 1.73 0.26
 -------- 20:00 0.27 ---- 0.21 1.72 0.24
 16.12.12 21:00 0.24 ---- 0.21 1.70 0.24
 -------- 22:00 0.23 ---- 0.20 1.68 0.23
 -------- 23:00 0.24 ---- 0.22 1.73 0.28
