 Date Time CO OZ NO2 NO
 29.12.12 00:00 0.12 ---- 0.10 0.04
 -------- 01:00 0.11 ---- 0.08 0.03
 -------- 02:00 0.09 ---- 0.09 0.03
 -------- 03:00 0.10 ---- 0.12 0.05
 -------- 04:00 0.09 ---- 0.09 0.03
 29.12.12 05:00 0.09 ---- 0.08 0.03
 -------- 06:00 0.11 ---- 0.10 0.05
 -------- 07:00 0.13 ---- 0.14 0.07
 -------- 08:00 0.13 ---- 0.11 0.06
 -------- 09:00 0.14 ---- 0.13 0.07
 29.12.12 10:00 0.11 ---- 0.14 0.07
 -------- 11:00 0.12 ---- 0.15 0.09
 -------- 12:00 0.13 3.93 0.12 0.06
 -------- 13:00 0.14 0.06 0.10 0.05
 -------- 14:00 0.12 0.07 0.07 0.03
 29.12.12 15:00 0.10 0.07 0.05 0.02
 -------- 16:00 0.10 0.06 0.06 0.02
 -------- 17:00 0.11 0.06 0.08 0.03
 -------- 18:00 0.11 0.06 0.06 0.02
 -------- 19:00 0.12 0.06 0.08 0.02
 29.12.12 20:00 0.12 0.06 0.08 0.02
 -------- 21:00 0.12 0.06 0.07 0.02
 -------- 22:00 0.11 0.06 0.08 0.02
 -------- 23:00 0.12 0.06 0.09 0.03
 -------- 00:00 0.11 0.06 0.05 0.02
 30.12.12 01:00 0.11 0.06 0.06 0.02
 -------- 02:00 0.12 0.06 0.07 0.02
 -------- 03:00 0.10 0.06 0.05 0.02
 -------- 04:00 0.10 0.06 0.06 0.02
 -------- 05:00 0.10 0.06 0.04 0.01
 30.12.12 06:00 0.11 0.06 0.06 0.02
 -------- 07:00 0.11 0.06 0.06 0.02
 -------- 08:00 0.11 0.06 0.07 0.03
 -------- 09:00 0.12 0.06 0.08 0.03
 -------- 10:00 0.14 0.06 0.09 0.03
 30.12.12 11:00 0.14 0.06 0.07 0.02
 -------- 12:00 0.14 0.06 0.08 0.03
 -------- 13:00 0.14 0.06 0.09 0.03
 -------- 14:00 0.15 0.06 0.09 0.03
 -------- 15:00 0.17 0.06 0.11 0.04
 30.12.12 16:00 0.19 0.06 0.12 0.06
 -------- 17:00 0.18 0.06 0.13 0.04
 -------- 18:00 0.19 0.06 0.14 0.04
 -------- 19:00 0.20 0.06 0.14 0.05
 -------- 20:00 0.21 0.06 0.14 0.06
 30.12.12 21:00 0.24 0.06 0.14 0.10
 -------- 22:00 0.19 0.06 0.14 0.10
 -------- 23:00 0.24 0.06 0.14 0.15
