 Date Time CO OZ NO2 CHX NO
 05.12.12 23:00 0.27 ---- 0.17 1.65 0.28
 -------- 00:00 0.25 ---- 0.17 1.68 0.26
 -------- 01:00 0.19 ---- 0.15 1.59 0.17
 -------- 02:00 0.19 ---- 0.15 1.58 0.17
 -------- 03:00 0.17 ---- 0.14 1.60 0.13
 06.12.12 04:00 0.16 ---- 0.15 1.58 0.18
 -------- 05:00 0.16 ---- 0.12 1.56 0.13
 -------- 06:00 0.19 ---- 0.11 1.54 0.13
 -------- 07:00 0.20 ---- 0.13 1.55 0.16
 -------- 08:00 0.22 ---- 0.13 1.58 0.16
 06.12.12 09:00 0.21 ---- 0.13 1.58 0.13
 -------- 10:00 0.25 ---- 0.15 1.62 0.18
 -------- 11:00 0.23 ---- 0.15 1.63 0.20
 -------- 12:00 0.21 ---- 0.17 1.62 0.16
 -------- 13:00 0.23 ---- 0.18 1.63 0.16
 06.12.12 14:00 0.18 ---- 0.18 1.61 0.16
 -------- 15:00 0.14 ---- 0.18 1.60 0.19
 -------- 16:00 0.11 ---- 0.17 1.57 0.15
 -------- 17:00 0.09 ---- 0.17 1.55 0.11
 -------- 18:00 0.11 ---- 0.15 1.58 0.11
 06.12.12 19:00 0.12 ---- 0.16 1.60 0.12
 -------- 20:00 0.10 ---- 0.15 1.55 0.11
 -------- 21:00 0.10 ---- 0.15 1.57 0.14
 -------- 22:00 0.17 ---- 0.15 1.54 0.14
 -------- 23:00 0.15 ---- 0.15 1.56 0.13
 07.12.12 00:00 0.15 ---- 0.14 1.53 0.13
 -------- 01:00 0.11 ---- 0.12 1.51 0.08
 -------- 02:00 0.11 ---- 0.11 1.48 0.07
 -------- 03:00 0.10 ---- 0.08 1.46 0.05
 -------- 04:00 0.11 ---- 0.09 1.47 0.07
 07.12.12 05:00 0.12 ---- 0.09 1.46 0.06
 -------- 06:00 0.16 ---- 0.14 1.51 0.14
 -------- 07:00 0.17 ---- 0.14 1.54 0.15
 -------- 08:00 0.19 ---- 0.13 1.53 0.13
 -------- 09:00 0.22 ---- 0.14 1.57 0.15
 07.12.12 10:00 0.22 ---- 0.14 1.57 0.15
 -------- 11:00 0.21 ---- 0.17 1.60 0.18
 -------- 12:00 0.15 ---- 0.14 1.53 0.11
 -------- 13:00 0.13 ---- 0.14 1.51 0.13
 -------- 14:00 0.16 ---- 0.16 1.56 0.19
 07.12.12 15:00 0.20 ---- 0.17 1.59 0.21
 -------- 16:00 0.22 ---- 0.18 1.63 0.17
 -------- 17:00 0.22 ---- 0.17 1.64 0.16
 -------- 18:00 0.21 ---- 0.17 1.64 0.15
 -------- 19:00 0.22 ---- 0.17 1.77 0.19
 07.12.12 20:00 0.19 ---- 0.13 1.78 0.18
 -------- 21:00 0.17 ---- 0.13 1.71 0.18
 -------- 22:00 0.21 ---- 0.12 1.80 0.20
 -------- 23:00 0.34 ---- 0.13 1.91 0.28
