 Date Time CO NO2 CHX NO
 01.12.12 23:00 0.35 0.09 1.70 0.27
 -------- 00:00 0.33 0.09 1.66 0.26
 -------- 01:00 0.32 0.07 1.68 0.23
 -------- 02:00 0.34 0.07 1.72 0.25
 -------- 03:00 0.33 0.08 1.75 0.25
 02.12.12 04:00 0.27 0.07 1.66 0.13
 -------- 05:00 0.26 0.06 1.62 0.09
 -------- 06:00 0.24 0.06 1.62 0.08
 -------- 07:00 0.25 0.05 1.62 0.07
 -------- 08:00 0.27 0.06 1.66 0.11
 02.12.12 09:00 0.28 0.06 1.64 0.12
 -------- 10:00 0.24 0.07 1.65 0.12
 -------- 11:00 0.22 0.08 1.63 0.12
 -------- 12:00 0.21 0.09 1.60 0.11
 -------- 13:00 0.19 0.08 1.61 0.08
 02.12.12 14:00 0.21 0.09 1.58 0.09
 -------- 15:00 0.20 0.08 1.58 0.08
 -------- 16:00 0.21 0.09 1.58 0.11
 -------- 17:00 0.21 0.10 1.57 0.10
 -------- 18:00 0.21 0.10 1.57 0.08
 02.12.12 19:00 0.22 0.11 1.60 0.10
 -------- 20:00 0.20 0.11 1.59 0.10
 -------- 21:00 0.20 0.11 1.59 0.08
 -------- 22:00 0.19 0.11 1.64 0.09
 -------- 23:00 0.16 0.11 1.59 0.06
 03.12.12 00:00 0.15 0.11 1.56 0.05
 -------- 01:00 0.14 0.11 1.53 0.07
 -------- 02:00 0.14 0.12 1.54 0.08
 -------- 03:00 0.14 0.12 1.56 0.05
 -------- 04:00 0.14 0.11 1.59 0.05
 03.12.12 05:00 0.14 0.11 1.55 0.07
 -------- 06:00 0.16 0.13 1.60 0.14
 -------- 07:00 0.20 0.13 1.62 0.19
 -------- 08:00 0.22 0.14 1.66 0.20
 -------- 09:00 0.23 0.13 1.66 0.20
 03.12.12 10:00 0.23 0.14 1.65 0.20
 -------- 11:00 0.23 0.15 1.67 0.27
 -------- 12:00 0.24 0.14 1.66 0.26
 -------- 13:00 0.27 0.14 1.65 0.27
 -------- 14:00 0.25 0.15 1.62 0.23
 03.12.12 15:00 0.22 0.14 1.60 0.17
 -------- 16:00 0.21 0.14 1.62 0.18
 -------- 17:00 0.21 0.14 1.63 0.18
 -------- 18:00 0.21 0.13 1.64 0.13
 -------- 19:00 0.20 0.14 1.63 0.14
 03.12.12 20:00 0.21 0.13 1.60 0.13
 -------- 21:00 0.19 0.12 1.73 0.12
 -------- 22:00 0.19 0.10 1.73 0.10
