 Date Time CO OZ NO2 CHX NO
 19.11.12 00:00 0.27 0.22 0.07 1.35 0.05
 -------- 01:00 0.25 0.21 0.07 1.34 0.04
 -------- 02:00 0.24 0.20 0.07 1.34 0.04
 -------- 03:00 0.24 0.20 0.08 1.34 0.04
 -------- 04:00 0.24 0.20 0.07 1.34 0.03
 19.11.12 05:00 0.24 0.18 0.07 1.35 0.05
 -------- 06:00 0.25 0.14 0.10 1.36 0.08
 -------- 07:00 0.28 0.11 0.12 1.37 0.14
 -------- 08:00 0.31 0.10 0.13 1.39 0.14
 -------- 09:00 0.33 0.09 0.13 1.40 0.12
 19.11.12 10:00 0.35 0.10 0.13 1.41 0.13
 -------- 11:00 0.34 0.07 0.14 1.43 0.18
 -------- 12:00 0.33 0.12 0.12 1.44 0.09
 -------- 13:00 0.33 0.12 0.12 1.46 0.08
 -------- 14:00 0.32 0.13 0.12 1.46 0.07
 19.11.12 15:00 0.33 0.10 0.14 1.48 0.10
 -------- 16:00 0.33 0.09 0.13 1.50 0.09
 -------- 17:00 0.37 0.07 0.15 1.51 0.12
 -------- 18:00 0.36 0.07 0.13 1.51 0.11
 -------- 19:00 0.34 0.07 0.12 1.50 0.09
 19.11.12 20:00 0.35 0.06 0.11 1.48 0.08
 -------- 21:00 0.36 0.05 0.11 1.46 0.11
 -------- 22:00 0.45 0.04 0.10 1.47 0.11
 -------- 23:00 0.41 0.04 0.09 1.49 0.09
 -------- 00:00 0.41 0.04 0.09 1.50 0.07
 20.11.12 01:00 0.42 0.05 0.08 1.49 0.05
 -------- 02:00 0.42 0.05 0.08 1.48 0.04
 -------- 03:00 0.42 0.05 0.07 1.47 0.03
 -------- 04:00 0.42 0.05 0.07 1.46 0.03
 -------- 05:00 0.42 0.06 0.06 1.44 0.03
 20.11.12 06:00 0.44 0.05 0.07 1.44 0.05
 -------- 07:00 0.45 0.04 0.07 1.43 0.04
 -------- 08:00 0.48 0.05 0.09 1.44 0.09
 -------- 09:00 0.49 0.04 0.09 1.44 0.08
 -------- 10:00 0.52 0.05 0.08 1.45 0.06
 20.11.12 11:00 0.49 0.05 0.09 1.45 0.08
 -------- 12:00 0.49 0.05 0.10 1.47 0.21
 -------- 13:00 0.52 0.05 0.13 1.52 0.26
 -------- 14:00 0.53 0.05 0.14 1.54 0.21
 -------- 15:00 0.52 0.06 0.16 1.54 0.15
 20.11.12 16:00 0.47 0.07 0.17 1.52 0.10
 -------- 17:00 0.47 0.07 0.15 1.50 0.07
 -------- 18:00 0.47 0.08 0.16 1.48 0.09
 -------- 19:00 0.47 0.07 0.16 1.48 0.08
 -------- 20:00 0.47 0.07 0.15 1.48 0.09
 20.11.12 21:00 0.49 0.08 0.14 1.46 0.07
 -------- 22:00 0.53 0.09 0.13 1.45 0.06
 -------- 23:00 0.49 0.08 0.15 1.45 0.09
