 Date Time CO OZ NO2 NO
 09.04.13 18:00 0.09 0.16 0.37 0.09
 -------- 19:00 0.06 0.23 0.32 0.05
 -------- 20:00 0.19 0.10 0.40 0.15
 -------- 21:00 0.23 0.06 0.43 0.22
 -------- 22:00 0.35 0.06 0.45 0.39
 09.04.13 23:00 0.29 0.06 0.44 0.38
 -------- 00:00 0.33 0.06 0.45 0.51
 -------- 01:00 0.19 0.05 0.43 0.33
 -------- 02:00 0.22 0.06 0.43 0.41
 -------- 03:00 0.16 0.06 0.45 0.46
 10.04.13 04:00 0.13 0.06 0.42 0.37
 -------- 05:00 0.12 0.05 0.42 0.42
 -------- 06:00 0.15 0.05 0.41 0.37
 -------- 07:00 0.30 0.06 0.42 0.46
 -------- 08:00 0.42 0.06 0.44 0.47
 10.04.13 09:00 0.21 0.10 0.38 0.24
 -------- 10:00 0.09 0.22 0.29 0.09
 -------- 11:00 0.09 0.24 0.28 0.10
 -------- 12:00 0.04 0.34 0.25 0.07
 -------- 13:00 0.04 0.35 0.25 0.07
 10.04.13 14:00 0.06 0.32 0.27 0.08
 -------- 15:00 0.05 0.34 0.27 0.07
 -------- 16:00 0.04 0.44 0.24 0.05
 -------- 17:00 0.05 0.40 0.27 0.06
 -------- 18:00 0.06 0.38 0.28 0.05
 10.04.13 19:00 0.06 0.42 0.27 0.04
 -------- 20:00 0.09 0.29 0.32 0.06
 -------- 21:00 0.11 0.13 0.39 0.09
 -------- 22:00 0.20 0.08 0.43 0.26
 -------- 23:00 0.26 0.06 0.46 0.35
 11.04.13 00:00 0.11 0.06 0.41 0.18
 -------- 01:00 0.06 0.07 0.39 0.20
 -------- 02:00 0.02 0.08 0.36 0.12
 -------- 03:00 0.02 0.06 0.37 0.18
 -------- 04:00 0.02 0.06 0.38 0.23
 11.04.13 05:00 0.05 0.06 0.40 0.34
 -------- 06:00 0.11 0.06 0.40 0.35
 -------- 07:00 0.19 0.06 0.39 0.33
 -------- 08:00 0.29 0.07 0.40 0.34
 -------- 09:00 0.19 0.10 0.38 0.18
 11.04.13 10:00 0.15 0.18 0.34 0.14
 -------- 11:00 0.13 0.24 0.31 0.14
 -------- 12:00 0.07 0.33 0.27 0.09
 -------- 13:00 0.04 0.36 0.26 0.07
 -------- 14:00 0.03 0.39 0.25 0.07
 11.04.13 15:00 0.06 0.27 0.33 0.10
 -------- 16:00 0.05 0.22 0.34 0.11
 -------- 17:00 0.06 0.27 0.32 0.08
