 Date Time CO OZ NO2 CHX NO
 19.09.12 09:00 0.40 0.04 0.25 2.02 0.30
 -------- 10:00 0.36 0.04 0.28 1.94 0.31
 -------- 11:00 0.33 0.05 0.28 1.92 0.26
 -------- 12:00 0.28 0.10 0.28 1.86 0.19
 -------- 13:00 0.23 0.14 0.26 1.75 0.15
 19.09.12 14:00 0.19 0.21 0.23 1.65 0.10
 -------- 15:00 0.19 0.23 0.23 1.58 0.09
 -------- 16:00 0.19 0.19 0.27 1.55 0.12
 -------- 17:00 0.17 0.24 0.22 1.53 0.08
 -------- 18:00 0.17 0.19 0.25 1.53 0.08
 19.09.12 19:00 0.21 0.10 0.31 1.56 0.09
 -------- 20:00 0.24 0.05 0.33 1.60 0.14
 -------- 21:00 0.28 0.04 0.33 1.65 0.21
 -------- 22:00 0.34 0.04 0.33 1.65 0.21
 -------- 23:00 0.35 0.04 0.30 1.66 0.26
 20.09.12 00:00 0.31 0.04 0.27 1.65 0.17
 -------- 01:00 0.27 0.04 0.25 1.65 0.14
 -------- 02:00 0.25 0.04 0.24 1.63 0.12
 -------- 03:00 0.22 0.06 0.20 1.61 0.10
 -------- 04:00 0.20 0.04 0.21 1.60 0.16
 20.09.12 05:00 0.20 0.05 0.20 1.62 0.18
 -------- 06:00 0.21 0.05 0.20 1.63 0.20
 -------- 07:00 0.24 0.05 0.22 1.64 0.24
 -------- 08:00 0.29 0.05 0.24 1.71 0.27
 -------- 09:00 0.33 0.05 0.29 1.80 0.28
 20.09.12 10:00 0.29 0.06 0.30 1.85 0.23
 -------- 11:00 0.25 0.09 0.25 1.80 0.15
 -------- 12:00 0.24 0.11 0.26 1.72 0.17
 -------- 13:00 0.21 0.18 0.24 1.64 0.12
 -------- 14:00 0.18 0.25 0.24 1.60 0.10
 20.09.12 15:00 0.17 0.28 0.24 1.59 0.08
 -------- 16:00 0.17 0.24 0.27 1.58 0.11
 -------- 17:00 0.17 0.24 0.28 1.55 0.09
 -------- 18:00 0.19 0.17 0.30 1.57 0.10
 -------- 19:00 0.25 0.08 0.36 1.59 0.14
 20.09.12 20:00 0.27 0.05 0.34 1.60 0.14
 -------- 21:00 0.29 0.05 0.33 1.67 0.20
 -------- 22:00 0.35 0.05 0.35 1.67 0.24
 -------- 23:00 0.37 0.04 0.33 1.66 0.30
 -------- 00:00 0.31 0.07 0.27 1.63 0.15
 21.09.12 01:00 0.26 0.08 0.25 1.59 0.13
 -------- 02:00 0.23 0.09 0.22 1.57 0.10
 -------- 03:00 0.21 0.08 0.19 1.55 0.08
 -------- 04:00 0.20 0.05 0.20 1.55 0.12
 -------- 05:00 0.20 0.05 0.20 1.59 0.14
 21.09.12 06:00 0.21 0.05 0.20 1.64 0.17
 -------- 07:00 0.25 0.04 0.22 1.72 0.31
 -------- 08:00 0.33 0.04 0.26 1.76 0.35
