 Date Time CO OZ NO2 NO
 16.05.13 12:00 0.27 0.20 0.45 ----
 -------- 13:00 0.21 0.28 0.47 ----
 -------- 14:00 0.21 0.22 0.54 ----
 -------- 15:00 0.19 0.33 0.44 ----
 -------- 16:00 0.19 0.41 0.39 ----
 16.05.13 17:00 0.19 0.34 0.37 ----
 -------- 18:00 0.26 0.14 0.50 ----
 -------- 19:00 0.23 0.07 0.58 ----
 -------- 20:00 0.40 0.06 0.66 ----
 -------- 21:00 0.39 0.03 0.71 ----
 16.05.13 22:00 0.38 0.04 0.62 ----
 -------- 23:00 0.26 0.09 0.47 ----
 -------- 00:00 0.19 0.12 0.41 ----
 -------- 01:00 0.17 0.11 0.46 ----
 -------- 02:00 0.14 0.12 0.43 ----
 17.05.13 03:00 0.12 0.10 0.41 ----
 -------- 04:00 0.11 0.12 0.36 ----
 -------- 05:00 0.12 0.14 0.31 ----
 -------- 06:00 0.18 0.11 0.38 ----
 -------- 07:00 0.30 0.10 0.47 ----
 17.05.13 08:00 0.38 0.13 0.44 ----
 -------- 09:00 0.25 0.19 0.40 ----
 -------- 10:00 0.23 0.24 0.35 ----
 -------- 11:00 0.18 0.33 0.28 ----
 -------- 12:00 0.17 0.32 0.31 ----
 17.05.13 13:00 0.17 0.33 0.34 ----
 -------- 14:00 0.18 0.33 0.30 ----
 -------- 15:00 0.24 0.26 0.41 ----
 -------- 16:00 0.26 0.22 0.38 ----
 -------- 17:00 0.24 0.23 0.27 ----
 17.05.13 18:00 0.19 0.23 0.27 ----
 -------- 19:00 0.20 0.24 0.32 ----
 -------- 20:00 0.15 0.20 0.24 ----
 -------- 21:00 0.21 0.19 0.28 ----
 -------- 22:00 0.21 0.13 0.34 ----
 17.05.13 23:00 0.25 0.09 0.35 ----
 -------- 00:00 0.26 0.07 0.32 ----
 -------- 01:00 0.22 0.03 0.32 ----
 -------- 02:00 0.21 0.03 0.30 ----
 -------- 03:00 0.17 0.03 0.30 ----
 18.05.13 04:00 0.17 0.04 0.32 ----
 -------- 05:00 0.13 0.08 0.28 ----
 -------- 06:00 0.17 0.07 0.27 ----
 -------- 07:00 0.22 0.07 0.27 ----
 -------- 08:00 0.19 0.10 0.26 ----
 18.05.13 09:00 0.22 0.08 0.29 ----
 -------- 10:00 0.17 0.15 0.30 ----
 -------- 11:00 0.15 0.28 0.19 ----
