 Date Time CO OZ NO2 NO
 03.04.13 00:00 0.07 0.31 0.22 0.02
 -------- 01:00 0.07 0.35 0.21 0.02
 -------- 02:00 0.11 0.34 0.21 0.02
 -------- 03:00 0.13 0.37 0.19 0.01
 -------- 04:00 0.15 0.31 0.21 0.03
 03.04.13 05:00 0.17 0.31 0.20 0.02
 -------- 06:00 0.19 0.32 0.19 0.01
 -------- 07:00 0.24 0.23 0.23 0.03
 -------- 08:00 0.31 0.14 0.28 0.05
 -------- 09:00 0.27 0.11 0.30 0.08
 03.04.13 10:00 0.05 0.12 0.29 0.08
 -------- 11:00 0.07 0.10 0.30 0.08
 -------- 12:00 0.09 0.10 0.30 0.08
 -------- 13:00 0.14 0.14 0.28 0.09
 -------- 14:00 0.09 0.20 0.23 0.04
 03.04.13 15:00 0.07 0.27 0.20 0.04
 -------- 16:00 0.05 0.30 0.19 0.03
 -------- 17:00 0.08 0.27 0.22 0.06
 -------- 18:00 0.12 0.22 0.25 0.07
 -------- 19:00 0.10 0.26 0.25 0.04
 03.04.13 20:00 0.09 0.29 0.24 0.03
 -------- 21:00 0.08 0.28 0.25 0.03
 -------- 22:00 0.03 0.22 0.27 0.05
 -------- 23:00 0.09 0.16 0.30 0.06
 -------- 00:00 0.06 0.15 0.32 0.09
 04.04.13 01:00 0.04 0.18 0.27 0.04
 -------- 02:00 0.02 0.16 0.28 0.05
 -------- 03:00 0.03 0.16 0.28 0.05
 -------- 04:00 0.02 0.17 0.27 0.04
 -------- 05:00 0.03 0.19 0.26 0.05
 04.04.13 06:00 0.14 0.07 0.34 0.21
 -------- 07:00 0.18 0.08 0.34 0.18
 -------- 08:00 0.26 0.10 0.36 0.23
 -------- 09:00 0.21 0.13 0.34 0.16
 -------- 10:00 0.16 0.22 0.29 0.10
 04.04.13 11:00 0.14 0.23 0.29 0.10
 -------- 12:00 0.17 0.25 0.29 0.10
 -------- 13:00 0.16 0.23 0.30 0.11
 -------- 14:00 0.15 0.28 0.27 0.08
 -------- 15:00 0.17 0.24 0.29 0.11
 04.04.13 16:00 0.19 0.23 0.30 0.10
 -------- 17:00 0.17 0.28 0.26 0.06
 -------- 18:00 0.21 0.20 0.30 0.09
 -------- 19:00 0.22 0.17 0.32 0.09
 -------- 20:00 0.18 0.12 0.34 0.10
 04.04.13 21:00 0.15 0.11 0.34 0.09
 -------- 22:00 0.14 0.11 0.32 0.09
 -------- 23:00 0.14 0.10 0.32 0.12
