 Date Time CO OZ NO2 NO
 19.03.13 12:00 0.06 0.28 0.19 0.03
 -------- 13:00 0.09 0.28 0.20 0.06
 -------- 14:00 0.07 0.30 0.19 0.05
 -------- 15:00 0.06 0.31 0.19 0.03
 -------- 16:00 0.08 0.29 0.20 0.04
 19.03.13 17:00 0.06 0.33 0.18 0.03
 -------- 18:00 0.06 0.31 0.19 0.03
 -------- 19:00 0.07 0.26 0.20 0.02
 -------- 20:00 0.06 0.24 0.20 0.02
 -------- 21:00 0.07 0.24 0.20 0.03
 19.03.13 22:00 0.04 0.21 0.21 0.03
 -------- 23:00 0.03 0.20 0.22 0.03
 -------- 00:00 0.02 0.23 0.20 0.02
 -------- 01:00 0.02 0.23 0.20 0.03
 -------- 02:00 ---- 0.22 0.19 0.02
 20.03.13 03:00 0.05 0.12 0.25 0.09
 -------- 04:00 0.04 0.11 0.26 0.06
 -------- 05:00 0.05 0.07 0.28 0.12
 -------- 06:00 0.12 0.06 0.29 0.20
 -------- 07:00 0.21 0.06 0.32 0.27
 20.03.13 08:00 0.26 0.06 0.32 0.28
 -------- 09:00 0.27 0.07 0.32 0.23
 -------- 10:00 0.25 0.09 0.31 0.20
 -------- 11:00 0.23 0.10 0.30 0.18
 -------- 12:00 0.19 0.13 0.29 0.16
 20.03.13 13:00 0.19 0.14 0.26 0.16
 -------- 14:00 0.19 0.12 0.30 0.17
 -------- 15:00 0.20 0.13 0.28 0.16
 -------- 16:00 0.20 0.15 0.27 0.13
 -------- 17:00 0.21 0.14 0.28 0.14
 20.03.13 18:00 0.18 0.14 0.27 0.12
 -------- 19:00 0.11 0.22 0.23 0.06
 -------- 20:00 0.07 0.25 0.20 0.03
 -------- 21:00 0.07 0.24 0.20 0.04
 -------- 22:00 0.07 0.20 0.21 0.05
 20.03.13 23:00 0.06 0.20 0.20 0.02
 -------- 00:00 0.05 0.19 0.19 0.02
 -------- 01:00 0.02 0.24 0.17 0.01
 -------- 02:00 0.02 0.27 0.15 0.01
 -------- 03:00 0.03 0.32 0.13 0.01
 21.03.13 04:00 0.02 0.31 0.13 0.01
 -------- 05:00 0.02 0.28 0.15 0.01
 -------- 06:00 0.03 0.25 0.16 0.02
 -------- 07:00 0.05 0.24 0.17 0.02
 -------- 08:00 0.11 0.17 0.21 0.05
 21.03.13 09:00 0.07 0.21 0.20 0.04
 -------- 10:00 0.07 0.23 0.19 0.04
