 Date Time CO OZ NO2 NO
 14.01.13 12:00 0.17 ---- 0.21 0.08
 -------- 13:00 0.15 ---- 0.20 0.06
 -------- 14:00 0.16 ---- 0.21 0.07
 -------- 15:00 0.15 ---- 0.22 0.06
 -------- 16:00 0.33 0.08 0.23 0.09
 14.01.13 17:00 0.13 0.10 0.21 0.04
 -------- 18:00 0.11 0.14 0.19 0.03
 -------- 19:00 0.12 0.13 0.19 0.03
 -------- 20:00 0.11 0.17 0.17 0.03
 -------- 21:00 0.10 0.22 0.14 0.02
 14.01.13 22:00 0.12 0.21 0.14 0.02
 -------- 23:00 0.11 0.21 0.14 0.01
 -------- 00:00 0.12 0.21 0.14 0.01
 -------- 01:00 0.12 0.21 0.14 0.01
 -------- 02:00 0.10 0.22 0.13 0.01
 15.01.13 03:00 0.10 0.24 0.13 0.01
 -------- 04:00 0.10 0.28 0.11 0.01
 -------- 05:00 0.10 0.25 0.12 0.02
 -------- 06:00 0.10 0.22 0.14 0.01
 -------- 07:00 0.15 0.17 0.17 0.05
 15.01.13 08:00 0.19 0.14 0.21 0.06
 -------- 09:00 0.15 0.14 0.20 0.05
 -------- 10:00 0.14 0.15 0.20 0.04
 -------- 11:00 0.16 0.10 0.23 0.07
 -------- 12:00 0.17 0.11 0.23 0.06
 15.01.13 13:00 0.17 0.12 0.23 0.06
 -------- 14:00 0.19 0.12 0.22 0.09
 -------- 15:00 0.19 0.13 0.21 0.06
 -------- 16:00 0.17 0.10 0.23 0.05
 -------- 17:00 0.20 0.07 0.25 0.08
 15.01.13 18:00 0.16 0.06 0.25 0.05
 -------- 19:00 0.21 0.05 0.28 0.09
 -------- 20:00 0.17 0.07 0.25 0.05
 -------- 21:00 0.24 0.06 0.26 0.14
 -------- 22:00 0.25 0.05 0.28 0.19
 15.01.13 23:00 0.19 0.06 0.27 0.13
 -------- 00:00 0.13 0.08 0.25 0.07
 -------- 01:00 0.15 0.06 0.27 0.12
 -------- 02:00 0.13 0.05 0.28 0.11
 -------- 03:00 0.12 0.08 0.25 0.07
 16.01.13 04:00 0.11 0.11 0.23 0.06
 -------- 05:00 0.10 0.12 0.22 0.07
 -------- 06:00 0.13 0.10 0.24 0.11
 -------- 07:00 0.15 0.09 0.25 0.12
 -------- 08:00 0.19 0.09 0.25 0.11
 16.01.13 09:00 0.23 0.07 0.27 0.12
 -------- 10:00 0.26 0.06 0.29 0.14
 -------- 11:00 0.25 0.06 0.29 0.13
