 Date Time CO OZ NO2 CHX NO
 19.12.12 00:00 ---- ---- 0.14 ---- 0.15
 -------- 01:00 ---- ---- 0.13 ---- 0.10
 -------- 02:00 ---- ---- 0.12 ---- 0.08
 -------- 03:00 ---- ---- 0.14 ---- 0.11
 -------- 04:00 ---- ---- 0.14 ---- 0.12
 19.12.12 05:00 ---- ---- 0.15 ---- 0.14
 -------- 06:00 ---- ---- 0.15 ---- 0.20
 -------- 07:00 ---- ---- 0.17 ---- 0.28
 -------- 08:00 ---- ---- 0.18 ---- 0.28
 -------- 09:00 ---- ---- 0.15 ---- 0.16
 19.12.12 10:00 ---- ---- 0.15 ---- 0.16
 -------- 11:00 ---- ---- 0.12 ---- 0.16
 -------- 12:00 ---- ---- 0.16 ---- 0.15
 -------- 13:00 ---- ---- 0.13 ---- 0.14
 -------- 14:00 ---- ---- 0.15 ---- 0.15
 19.12.12 15:00 ---- ---- 0.19 ---- 0.21
 -------- 16:00 ---- ---- 0.20 ---- 0.22
 -------- 17:00 ---- ---- 0.21 ---- 0.22
 -------- 18:00 ---- ---- 0.23 ---- 0.34
 -------- 19:00 ---- ---- 0.26 ---- 0.32
 19.12.12 20:00 ---- ---- 0.25 ---- 0.29
 -------- 21:00 ---- ---- 0.24 ---- 0.30
 -------- 22:00 ---- ---- 0.20 ---- 0.32
 -------- 23:00 ---- ---- 0.20 ---- 0.31
 -------- 00:00 ---- ---- 0.19 ---- 0.29
 20.12.12 01:00 ---- ---- 0.20 ---- 0.33
 -------- 02:00 ---- ---- 0.20 ---- 0.29
 -------- 03:00 ---- ---- 0.19 ---- 0.26
 -------- 04:00 ---- ---- 0.20 ---- 0.26
 -------- 05:00 ---- ---- 0.20 ---- 0.29
 20.12.12 06:00 ---- ---- 0.21 ---- 0.36
 -------- 07:00 ---- ---- 0.22 ---- 0.36
 -------- 08:00 ---- ---- 0.23 ---- 0.36
 -------- 09:00 ---- ---- 0.22 ---- 0.32
 -------- 10:00 ---- ---- 0.22 ---- 0.31
 20.12.12 11:00 ---- ---- 0.24 ---- 0.33
 -------- 12:00 ---- ---- 0.25 ---- 0.37
 -------- 13:00 1.06 ---- 0.24 ---- 0.36
 -------- 14:00 1.12 ---- 0.26 ---- 0.39
 -------- 15:00 1.09 ---- 0.25 ---- 0.35
 20.12.12 16:00 1.10 ---- 0.26 ---- 0.35
 -------- 17:00 1.07 ---- 0.24 ---- 0.29
 -------- 18:00 1.11 ---- 0.24 ---- 0.25
 -------- 19:00 1.25 ---- 0.23 ---- 0.25
 -------- 20:00 1.39 ---- 0.22 ---- 0.30
 20.12.12 21:00 1.27 ---- 0.19 ---- 0.28
 -------- 22:00 0.35 ---- 0.19 ---- 0.21
 -------- 23:00 0.43 ---- 0.18 ---- 0.18
