 Date Time OZ NO2 NO
 25.12.12 00:00 ---- 0.19 0.11
 -------- 01:00 ---- 0.18 0.09
 -------- 02:00 ---- 0.15 0.06
 -------- 03:00 ---- 0.13 0.06
 -------- 04:00 ---- 0.13 0.05
 25.12.12 05:00 ---- 0.13 0.06
 -------- 06:00 ---- 0.15 0.09
 -------- 07:00 ---- 0.19 0.16
 -------- 08:00 ---- 0.18 0.13
 -------- 09:00 ---- 0.16 0.11
 25.12.12 10:00 ---- 0.15 0.10
 -------- 11:00 ---- 0.18 0.12
 -------- 12:00 ---- 0.17 0.14
 -------- 13:00 ---- 0.18 0.13
 -------- 14:00 ---- 0.20 0.16
 25.12.12 15:00 ---- 0.19 0.15
 -------- 16:00 ---- 0.18 0.11
 -------- 17:00 ---- 0.18 0.12
 -------- 18:00 ---- 0.19 0.11
 -------- 19:00 ---- 0.18 0.10
 25.12.12 20:00 ---- 0.15 0.08
 -------- 21:00 ---- 0.13 0.06
 -------- 22:00 ---- 0.13 0.07
 -------- 23:00 ---- 0.13 0.07
 -------- 00:00 ---- 0.14 0.08
 26.12.12 01:00 ---- 0.13 0.07
 -------- 02:00 ---- 0.09 0.04
 -------- 03:00 ---- 0.08 0.04
 -------- 04:00 ---- 0.10 0.04
 -------- 05:00 ---- 0.14 0.07
 26.12.12 06:00 ---- 0.16 0.10
 -------- 07:00 ---- 0.15 0.11
 -------- 08:00 ---- 0.14 0.11
 -------- 09:00 ---- 0.14 0.10
 -------- 10:00 ---- 0.15 0.11
 26.12.12 11:00 ---- 0.15 0.11
 -------- 12:00 ---- 0.16 0.11
 -------- 13:00 ---- 0.16 0.14
 -------- 14:00 ---- 0.15 0.15
 -------- 15:00 ---- 0.15 0.14
 26.12.12 16:00 ---- 0.15 0.10
 -------- 17:00 ---- 0.14 0.13
 -------- 18:00 ---- 0.18 0.15
 -------- 19:00 ---- 0.17 0.13
 -------- 20:00 ---- 0.15 0.14
 26.12.12 21:00 ---- 0.13 0.11
 -------- 22:00 ---- 0.13 0.08
 -------- 23:00 ---- 0.13 0.07
 -------- 00:00 ---- 0.13 0.06
