 Date Time CO NO2 CHX NO
 05.01.13 12:00 0.10 0.29 1.58 0.06
 -------- 13:00 0.09 0.26 1.56 0.04
 -------- 14:00 0.08 0.21 1.50 0.03
 -------- 15:00 0.07 0.17 1.41 0.02
 -------- 16:00 0.06 0.15 1.36 0.02
 05.01.13 17:00 0.08 0.19 1.38 0.01
 -------- 18:00 0.09 0.23 1.41 0.02
 -------- 19:00 0.11 0.25 1.44 0.03
 -------- 20:00 0.09 0.22 1.52 0.02
 -------- 21:00 0.09 0.22 1.48 0.02
 05.01.13 22:00 0.08 0.20 1.40 0.02
 -------- 23:00 0.07 0.19 1.37 0.02
 -------- 00:00 0.06 0.19 1.37 0.02
 -------- 01:00 0.06 0.19 1.38 0.02
 -------- 02:00 0.04 0.15 1.36 0.01
 06.01.13 03:00 0.04 0.13 1.36 0.01
 -------- 04:00 0.04 0.16 1.37 0.02
 -------- 05:00 0.04 0.17 1.37 0.02
 -------- 06:00 0.03 0.18 1.38 0.02
 -------- 07:00 0.03 0.18 1.38 0.02
 06.01.13 08:00 0.03 0.16 1.37 0.02
 -------- 09:00 0.04 0.19 1.38 0.02
 -------- 10:00 0.04 0.20 1.40 0.03
 -------- 11:00 0.06 0.19 1.43 0.04
 -------- 12:00 0.04 0.16 1.41 0.03
 06.01.13 13:00 0.05 0.17 1.43 0.04
 -------- 14:00 0.04 0.18 1.41 0.04
 -------- 15:00 0.04 0.18 1.41 0.03
 -------- 16:00 0.04 0.17 1.39 0.02
 -------- 17:00 0.04 0.15 1.37 0.01
 06.01.13 18:00 0.04 0.15 1.36 0.01
 -------- 19:00 0.04 0.14 1.37 0.01
 -------- 20:00 0.05 0.15 1.38 0.01
 -------- 21:00 0.05 0.15 1.38 0.01
 -------- 22:00 0.05 0.15 1.37 0.01
 06.01.13 23:00 0.05 0.15 1.37 0.01
 -------- 00:00 0.04 0.15 1.38 0.01
 -------- 01:00 0.05 0.13 1.37 0.01
 -------- 02:00 0.05 0.10 1.35 0.01
 -------- 03:00 0.05 0.08 1.34 0.01
 07.01.13 04:00 0.05 0.08 1.33 0.01
 -------- 05:00 0.05 0.09 1.34 0.01
 -------- 06:00 0.06 0.11 1.34 0.01
 -------- 07:00 0.06 0.12 1.35 0.01
 -------- 08:00 0.05 0.10 1.34 0.01
 07.01.13 09:00 0.07 0.10 1.35 0.01
 -------- 10:00 0.07 0.11 1.35 0.01
 -------- 11:00 0.07 0.10 1.35 0.01
