 Date Time CO NO2 CHX NO
 27.12.12 12:00 0.11 0.33 1.62 0.09
 -------- 13:00 0.15 0.33 1.64 0.10
 -------- 14:00 0.13 0.34 1.57 0.13
 -------- 15:00 0.14 0.36 1.60 0.14
 -------- 16:00 0.16 0.36 1.70 0.17
 27.12.12 17:00 0.20 0.37 1.73 0.22
 -------- 18:00 0.16 0.36 1.68 0.20
 -------- 19:00 0.17 0.37 1.68 0.25
 -------- 20:00 0.16 0.33 1.62 0.19
 -------- 21:00 0.11 0.29 1.57 0.13
 27.12.12 22:00 0.07 0.26 1.49 0.08
 -------- 23:00 0.05 0.24 1.44 0.03
 -------- 00:00 0.05 0.27 1.48 0.06
 -------- 01:00 0.09 0.27 1.46 0.06
 -------- 02:00 0.06 0.19 1.41 0.02
 28.12.12 03:00 0.05 0.15 1.38 0.01
 -------- 04:00 0.05 0.18 1.39 0.01
 -------- 05:00 0.06 0.18 1.38 0.01
 -------- 06:00 0.06 0.16 1.40 0.01
 -------- 07:00 0.07 0.22 1.44 0.02
 28.12.12 08:00 0.10 0.26 1.49 0.04
 -------- 09:00 0.10 0.26 1.47 0.04
 -------- 10:00 0.12 0.31 1.47 0.08
 -------- 11:00 0.12 0.29 1.49 0.07
 -------- 12:00 0.12 0.27 1.48 0.05
 28.12.12 13:00 0.10 0.23 1.46 0.04
 -------- 14:00 0.09 0.24 1.45 0.03
 -------- 15:00 0.09 0.25 1.43 0.03
 -------- 16:00 0.09 0.24 1.41 0.02
 -------- 17:00 0.09 0.25 1.46 0.02
 28.12.12 18:00 0.09 0.24 1.43 0.02
 -------- 19:00 0.09 0.25 1.43 0.02
 -------- 20:00 0.09 0.23 1.43 0.02
 -------- 21:00 0.08 0.20 1.42 0.02
 -------- 22:00 0.05 0.16 1.36 0.01
 28.12.12 23:00 0.04 0.17 1.35 0.01
 -------- 00:00 0.03 0.17 1.34 0.01
 -------- 01:00 0.03 0.14 1.33 0.01
 -------- 02:00 0.02 0.13 1.32 0.01
 -------- 03:00 0.02 0.13 1.33 0.01
 29.12.12 04:00 0.02 0.14 1.34 0.01
 -------- 05:00 0.02 0.12 1.33 0.01
 -------- 06:00 0.02 0.13 1.33 0.01
 -------- 07:00 0.03 0.15 1.34 0.01
 -------- 08:00 0.03 0.18 1.36 0.01
 29.12.12 09:00 0.04 0.20 1.37 0.01
 -------- 10:00 0.06 0.20 1.38 0.01
 -------- 11:00 0.06 0.20 1.37 0.01
