 Date Time NO2 CHX NO PM2.5
 25.02.13 00:00 0.39 1.46 0.01 ----
 -------- 01:00 0.41 1.47 0.02 ----
 -------- 02:00 0.42 1.47 0.02 ----
 -------- 03:00 0.37 1.46 0.01 ----
 -------- 04:00 0.33 1.46 0.01 ----
 25.02.13 05:00 0.36 1.46 0.01 ----
 -------- 06:00 0.38 1.46 0.01 ----
 -------- 07:00 0.42 1.48 0.03 ----
 -------- 08:00 0.49 1.52 0.10 ----
 -------- 09:00 0.50 1.55 0.12 ----
 25.02.13 10:00 0.44 1.55 0.10 ----
 -------- 11:00 0.43 1.55 0.11 ----
 -------- 12:00 0.37 1.52 0.08 ----
 -------- 13:00 0.33 1.50 0.06 ----
 -------- 14:00 0.36 1.50 0.06 ----
 25.02.13 15:00 0.27 1.45 0.03 ----
 -------- 16:00 0.23 1.43 0.02 ----
 -------- 17:00 0.28 1.45 0.02 ----
 -------- 18:00 0.35 1.46 0.02 ----
 -------- 19:00 0.42 1.48 0.02 ----
 25.02.13 20:00 0.41 1.47 0.01 ----
 -------- 21:00 0.38 1.46 0.01 ----
 -------- 22:00 0.39 1.48 0.02 ----
 -------- 23:00 0.47 1.48 0.03 ----
 -------- 00:00 0.46 1.48 0.03 ----
 26.02.13 01:00 0.42 1.48 0.02 ----
 -------- 02:00 0.42 1.48 0.02 ----
 -------- 03:00 0.41 1.49 0.01 ----
 -------- 04:00 0.41 1.49 0.01 ----
 -------- 05:00 0.42 1.50 0.02 ----
 26.02.13 06:00 0.45 1.49 0.02 ----
 -------- 07:00 0.54 1.50 0.09 ----
 -------- 08:00 0.58 1.55 0.15 ----
 -------- 09:00 0.54 1.55 0.12 ----
 -------- 10:00 0.47 1.55 0.10 ----
 26.02.13 11:00 0.46 1.55 0.11 ----
 -------- 12:00 0.41 1.52 0.09 ----
 -------- 13:00 0.38 1.51 0.07 ----
 -------- 14:00 0.31 1.48 0.04 ----
 -------- 15:00 0.25 1.45 0.03 ----
 26.02.13 16:00 0.21 1.41 0.02 ----
 -------- 17:00 0.24 1.40 0.02 ----
 -------- 18:00 0.27 1.41 0.01 ----
 -------- 19:00 0.30 1.42 0.01 ----
 -------- 20:00 0.29 1.41 0.01 ----
 26.02.13 21:00 0.32 1.42 0.01 ----
 -------- 22:00 0.27 1.40 0.01 ----
 -------- 23:00 0.26 1.39 0.01 ----
