 Date Time CO NO2 CHX NO
 03.01.13 12:00 0.08 0.22 1.46 0.01
 -------- 13:00 0.09 0.26 1.49 0.02
 -------- 14:00 0.10 0.29 1.51 0.03
 -------- 15:00 0.09 0.23 1.47 0.02
 -------- 16:00 0.09 0.18 1.45 0.01
 03.01.13 17:00 0.08 0.17 1.43 0.01
 -------- 18:00 0.07 0.16 1.43 0.01
 -------- 19:00 0.08 0.21 1.44 0.01
 -------- 20:00 0.08 0.24 1.44 0.01
 -------- 21:00 0.10 0.26 1.48 0.02
 03.01.13 22:00 0.09 0.18 1.41 0.01
 -------- 23:00 0.09 0.18 1.41 0.01
 -------- 00:00 0.08 0.21 1.42 0.01
 -------- 01:00 0.07 0.21 1.42 0.01
 -------- 02:00 0.07 0.22 1.41 0.01
 04.01.13 03:00 0.06 0.16 1.37 0.01
 -------- 04:00 0.04 0.13 1.37 0.01
 -------- 05:00 0.04 0.12 1.37 0.01
 -------- 06:00 0.04 0.12 1.36 0.01
 -------- 07:00 0.04 0.14 1.36 0.01
 04.01.13 08:00 0.04 0.16 1.36 0.01
 -------- 09:00 0.05 0.15 1.38 0.01
 -------- 10:00 0.05 0.18 1.39 0.01
 -------- 11:00 0.06 0.20 1.40 0.02
 -------- 12:00 0.06 0.20 1.40 0.02
 04.01.13 13:00 0.06 0.21 1.40 0.03
 -------- 14:00 0.08 0.23 1.43 0.03
 -------- 15:00 0.07 0.22 1.43 0.03
 -------- 16:00 0.07 0.24 1.44 0.03
 -------- 17:00 0.08 0.27 1.45 0.04
 04.01.13 18:00 0.09 0.26 1.46 0.03
 -------- 19:00 0.08 0.28 1.47 0.04
 -------- 20:00 0.08 0.28 1.46 0.03
 -------- 21:00 0.08 0.26 1.44 0.03
 -------- 22:00 0.08 0.27 1.46 0.04
 04.01.13 23:00 0.08 0.24 1.43 0.02
 -------- 00:00 0.06 0.26 1.47 0.03
 -------- 01:00 0.10 0.28 2.50 0.07
 -------- 02:00 0.10 0.30 1.53 0.07
 -------- 03:00 0.11 0.29 1.57 0.11
 05.01.13 04:00 0.12 0.27 1.58 0.10
 -------- 05:00 0.09 0.26 1.50 0.06
 -------- 06:00 0.08 0.26 1.48 0.03
 -------- 07:00 0.08 0.26 1.52 0.03
 -------- 08:00 0.09 0.24 1.59 0.03
 05.01.13 09:00 0.09 0.25 1.63 0.06
 -------- 10:00 0.07 0.25 1.46 0.02
 -------- 11:00 0.07 0.27 1.39 0.03
