 Date Time CO NO2 CHX NO
 17.09.12 12:00 0.07 0.21 1.40 0.05
 -------- 13:00 0.06 0.13 1.37 0.02
 -------- 14:00 0.06 0.12 1.36 0.01
 -------- 15:00 0.05 0.12 1.35 0.01
 -------- 16:00 0.06 0.09 1.34 0.01
 17.09.12 17:00 0.07 0.14 1.35 0.01
 -------- 18:00 0.08 0.16 1.38 0.01
 -------- 19:00 0.09 0.24 1.40 0.01
 -------- 20:00 0.11 0.30 1.45 0.02
 -------- 21:00 0.21 0.37 1.77 0.15
 17.09.12 22:00 0.25 0.37 1.93 0.25
 -------- 23:00 0.28 0.36 1.96 0.30
 -------- 00:00 0.39 0.43 2.13 0.61
 -------- 01:00 0.48 0.52 2.22 0.83
 -------- 02:00 0.33 0.43 2.25 0.59
 18.09.12 03:00 0.33 0.43 2.30 0.60
 -------- 04:00 0.17 0.35 2.01 0.33
 -------- 05:00 0.10 0.31 1.79 0.17
 -------- 06:00 0.06 0.29 1.63 0.10
 -------- 07:00 0.07 0.29 1.64 0.13
 18.09.12 08:00 0.11 0.32 1.67 0.23
 -------- 09:00 0.19 0.37 1.77 0.36
 -------- 10:00 0.15 0.36 1.64 0.23
 -------- 11:00 0.14 0.36 1.56 0.14
 -------- 12:00 0.11 0.33 1.51 0.09
 18.09.12 13:00 0.04 0.19 1.41 0.02
 -------- 14:00 0.12 0.16 1.45 0.02
 -------- 15:00 0.07 0.18 1.42 0.01
 -------- 16:00 0.06 0.19 1.39 0.01
 -------- 17:00 0.08 0.22 1.40 0.01
 18.09.12 18:00 0.08 0.26 1.44 0.01
 -------- 19:00 0.07 0.25 1.43 0.01
 -------- 20:00 0.09 0.32 1.49 0.01
 -------- 21:00 0.09 0.32 1.47 0.01
 -------- 22:00 0.11 0.38 1.57 0.04
 18.09.12 23:00 0.10 0.37 1.53 0.06
 -------- 00:00 0.12 0.38 1.58 0.08
 -------- 01:00 0.13 0.37 1.57 0.05
 -------- 02:00 0.11 0.36 1.52 0.03
 -------- 03:00 0.13 0.37 1.62 0.08
 19.09.12 04:00 0.13 0.37 1.65 0.09
 -------- 05:00 0.11 0.36 1.67 0.08
 -------- 06:00 0.13 0.37 1.77 0.13
 -------- 07:00 0.12 0.37 1.76 0.15
 -------- 08:00 0.15 0.37 1.73 0.20
 19.09.12 09:00 0.18 0.39 1.69 0.23
 -------- 10:00 0.18 0.40 1.75 0.17
 -------- 11:00 0.14 0.38 1.65 0.10
