 Date Time NO2 CHX NO PM2.5
 28.01.13 00:00 0.48 1.61 0.21 ----
 -------- 01:00 0.45 1.55 0.18 ----
 -------- 02:00 0.44 1.59 0.18 ----
 -------- 03:00 0.44 1.56 0.17 ----
 -------- 04:00 0.41 1.52 0.09 ----
 28.01.13 05:00 0.40 1.50 0.08 ----
 -------- 06:00 0.40 1.53 0.09 ----
 -------- 07:00 0.43 1.60 0.17 ----
 -------- 08:00 0.44 1.64 0.19 ----
 -------- 09:00 0.43 1.63 0.15 ----
 28.01.13 10:00 0.44 1.61 0.17 ----
 -------- 11:00 0.44 1.61 0.22 ----
 -------- 12:00 0.41 1.56 0.17 ----
 -------- 13:00 0.43 1.59 0.21 ----
 -------- 14:00 0.44 1.66 0.21 ----
 28.01.13 15:00 0.42 1.61 0.18 ----
 -------- 16:00 0.45 1.60 0.20 ----
 -------- 17:00 0.44 1.63 0.15 ----
 -------- 18:00 0.41 1.62 0.06 ----
 -------- 19:00 0.38 1.58 0.04 ----
 28.01.13 20:00 0.38 1.54 0.04 ----
 -------- 21:00 0.37 1.54 0.04 ----
 -------- 22:00 0.37 1.53 0.04 ----
 -------- 23:00 0.35 1.52 0.03 ----
 -------- 00:00 0.34 1.52 0.02 ----
 29.01.13 01:00 0.34 1.51 0.02 ----
 -------- 02:00 0.31 1.48 0.01 ----
 -------- 03:00 0.31 1.49 0.01 ----
 -------- 04:00 0.26 1.47 0.00 ----
 -------- 05:00 0.26 1.51 0.01 ----
 29.01.13 06:00 0.33 1.53 0.04 ----
 -------- 07:00 0.38 1.57 0.06 ----
 -------- 08:00 0.41 1.66 0.18 ----
 -------- 09:00 0.43 1.71 0.23 ----
 -------- 10:00 0.41 1.74 0.19 ----
 29.01.13 11:00 0.41 1.68 0.19 ----
 -------- 12:00 0.41 1.71 0.20 ----
 -------- 13:00 0.40 1.69 0.17 ----
 -------- 14:00 0.39 1.67 0.14 ----
 -------- 15:00 0.39 1.67 0.14 ----
 29.01.13 16:00 0.38 1.66 0.14 ----
 -------- 17:00 0.43 1.69 0.20 ----
 -------- 18:00 0.42 1.69 0.15 ----
 -------- 19:00 0.40 1.63 0.09 ----
 -------- 20:00 0.38 1.65 0.07 ----
 29.01.13 21:00 0.36 1.57 0.05 ----
 -------- 22:00 0.38 1.61 0.07 ----
 -------- 23:00 0.40 1.60 0.09 ----
