 Date Time CO NO2 CHX NO
 04.02.13 00:00 0.05 0.24 1.43 0.01
 -------- 01:00 0.08 0.22 1.41 0.01
 -------- 02:00 0.09 0.22 1.42 0.01
 -------- 03:00 0.09 0.24 1.42 0.02
 -------- 04:00 0.06 0.18 1.42 0.01
 04.02.13 05:00 0.06 0.21 1.47 0.01
 -------- 06:00 0.06 0.25 1.49 0.01
 -------- 07:00 0.12 0.27 1.49 0.02
 -------- 08:00 0.10 0.30 1.49 0.04
 -------- 09:00 0.18 0.35 1.63 0.16
 04.02.13 10:00 0.24 0.40 1.76 0.30
 -------- 11:00 0.23 0.41 1.75 0.34
 -------- 12:00 0.23 0.39 1.88 0.30
 -------- 13:00 0.14 0.29 1.63 0.12
 -------- 14:00 0.09 0.23 1.47 0.06
 04.02.13 15:00 0.08 0.23 1.44 0.04
 -------- 16:00 0.09 0.21 1.48 0.03
 -------- 17:00 0.11 0.19 1.47 0.02
 -------- 18:00 0.09 0.19 1.44 0.01
 -------- 19:00 0.10 0.18 1.41 0.01
 04.02.13 20:00 0.10 0.19 1.38 0.01
 -------- 21:00 0.10 0.19 1.37 0.01
 -------- 22:00 0.10 0.18 1.36 0.01
 -------- 23:00 0.11 0.20 1.41 0.01
 -------- 00:00 0.08 0.24 1.41 0.02
 05.02.13 01:00 0.06 0.16 1.36 0.01
 -------- 02:00 0.07 0.14 1.36 0.01
 -------- 03:00 0.07 0.15 1.35 0.01
 -------- 04:00 0.08 0.13 1.33 0.01
 -------- 05:00 0.08 0.16 1.33 0.01
 05.02.13 06:00 0.09 0.16 1.34 0.01
 -------- 07:00 0.10 0.18 1.36 0.01
 -------- 08:00 0.11 0.22 1.39 0.01
 -------- 09:00 0.13 0.25 1.40 0.01
 -------- 10:00 0.19 0.27 1.42 0.02
 05.02.13 11:00 0.19 0.33 1.45 0.07
 -------- 12:00 0.14 0.33 1.46 0.07
 -------- 13:00 0.15 0.31 1.47 0.07
 -------- 14:00 0.16 0.30 1.55 0.08
 -------- 15:00 0.15 0.31 1.53 0.09
 05.02.13 16:00 0.13 0.25 1.45 0.03
 -------- 17:00 0.12 0.27 1.47 0.03
 -------- 18:00 0.14 0.40 1.52 0.07
