 Date Time CO NO2 CHX NO
 06.02.13 00:00 0.07 0.25 1.42 0.01
 -------- 01:00 0.08 0.26 1.41 0.01
 -------- 02:00 0.07 0.23 1.38 0.01
 -------- 03:00 0.06 0.21 1.37 0.01
 -------- 04:00 0.05 0.17 1.35 0.00
 06.02.13 05:00 0.04 0.14 1.35 0.01
 -------- 06:00 0.03 0.18 1.35 0.01
 -------- 07:00 0.05 0.23 1.37 0.01
 -------- 08:00 0.08 0.30 1.42 0.01
 -------- 09:00 0.08 0.29 1.41 0.02
 06.02.13 10:00 0.07 0.27 1.41 0.02
 -------- 11:00 0.07 0.31 1.43 0.03
 -------- 12:00 0.07 0.26 1.42 0.02
 -------- 13:00 0.06 0.26 1.42 0.03
 -------- 14:00 0.05 0.30 1.45 0.04
 06.02.13 15:00 0.06 0.37 1.51 0.07
 -------- 16:00 0.07 0.40 1.46 0.07
 -------- 17:00 0.08 0.36 1.45 0.04
 -------- 18:00 0.07 0.27 1.45 0.02
 -------- 19:00 0.07 0.24 1.44 0.02
 06.02.13 20:00 0.07 0.25 1.45 0.03
 -------- 21:00 0.06 0.25 1.46 0.02
 -------- 22:00 0.06 0.28 1.44 0.02
 -------- 23:00 0.05 0.29 1.43 0.02
 -------- 00:00 0.05 0.29 1.42 0.02
 07.02.13 01:00 0.08 0.28 1.44 0.03
 -------- 02:00 0.08 0.30 1.43 0.04
 -------- 03:00 0.06 0.21 1.39 0.03
 -------- 04:00 0.06 0.23 1.38 0.03
 -------- 05:00 0.07 0.24 1.38 0.03
 07.02.13 06:00 0.07 0.24 1.38 0.05
 -------- 07:00 0.09 0.27 1.43 0.05
 -------- 08:00 0.10 0.30 1.45 0.08
 -------- 09:00 0.12 0.30 1.43 0.08
 -------- 10:00 0.13 0.30 1.44 0.08
 07.02.13 11:00 0.11 0.29 1.44 0.07
 -------- 12:00 0.13 0.29 1.46 0.08
 -------- 13:00 0.12 0.27 1.44 0.06
 -------- 14:00 0.12 0.30 1.46 0.07
 -------- 15:00 0.12 0.33 1.43 0.09
 07.02.13 16:00 0.12 0.29 1.42 0.05
 -------- 17:00 0.10 0.26 1.42 0.03
 -------- 18:00 0.10 0.23 1.39 0.02
 -------- 19:00 0.10 0.23 1.39 0.04
 -------- 20:00 0.13 0.27 1.42 0.04
 07.02.13 21:00 0.12 0.27 1.40 0.05
 -------- 22:00 0.11 0.27 1.40 0.05
 -------- 23:00 0.10 0.22 1.39 0.03
